,discount,learning rate,dec temp,weight,prior weight,prior lr,subject
0,0.73217535,0.9580181,5.036723,0.83754826,0.5025273,0.03682682,0
1,0.2235196,0.051607203,1.0309737,0.39617252,0.5545015,0.20976174,1
2,0.52542305,0.94612294,3.8484778,0.9497563,0.84879184,0.09828122,2
3,0.08378015,0.97246766,3.8054895,0.82494473,1.1839572,0.7864761,3
4,0.90933853,0.9089553,2.6492815,0.54111093,0.42483908,0.9289966,4
5,0.441836,0.9557488,3.4579973,0.93585193,1.0695838,0.071325116,5
6,0.9966524,0.101961605,5.4633365,0.51151633,0.91288674,0.10373264,6
7,0.7401847,0.06967438,2.4221056,0.97910196,0.24983874,0.19772175,7
8,0.14653638,0.7689754,2.8777423,0.5960912,0.71836007,0.05944927,8
9,0.56911176,0.9362824,5.726033,0.9291031,0.7098625,0.092398904,9
10,0.020587852,0.5229984,3.7211673,0.9733445,0.4743756,0.16843918,10
11,0.012854215,0.9836821,1.7881303,0.6019705,0.6105336,0.11870782,11
12,0.8460124,0.8722773,3.8886962,0.8273707,0.84679794,0.030644668,12
13,0.2502066,0.9126744,3.830676,0.88839287,0.43194884,0.25110325,13
14,0.9892536,0.9556142,2.588583,0.13991511,1.7748799,0.08322024,14
15,0.83288425,0.9691162,5.3119397,0.89918315,0.2148504,0.28118467,15
16,0.110446446,0.87035483,1.1189259,0.98412156,0.2810189,0.74229413,16
17,0.44574058,0.027581638,1.5756919,0.9936348,0.75715256,0.11572334,17
18,0.70448184,0.6998778,2.3774767,0.961548,1.7679298,0.53895926,18
19,0.88243836,0.9807848,2.7715518,0.9495053,0.40830204,0.29785296,19
20,0.9890782,0.91274136,3.4941666,0.30721363,0.5164823,0.0956322,20
21,0.26100823,0.93516046,1.3418643,0.6082116,0.7225842,0.047754083,21
22,0.15632293,0.96974957,1.7564702,0.7259308,0.27053964,0.36971804,22
23,0.8158703,0.94090873,2.5978966,0.5806164,1.3984241,0.030844238,23
24,0.85917836,0.97174287,4.7648325,0.9376324,0.37500286,0.3561551,0
25,0.7007223,0.08259202,2.4162817,0.5512204,0.9232977,0.15956116,1
26,0.5676149,0.9613558,3.5985668,0.884579,0.30126446,0.10916741,2
27,0.69027066,0.96308464,3.1232815,0.9840365,1.7804785,0.79573727,3
28,0.9411721,0.9391193,2.1929045,0.6264072,0.40630102,0.678316,4
29,0.50221914,0.9516108,3.3187222,0.9872175,1.6025803,0.04394279,5
30,0.7761497,0.4074496,4.139518,0.3825413,1.9347336,0.127773,6
31,0.046510223,0.4587015,1.1755383,0.879017,1.0046713,0.15474288,7
32,0.008451567,0.85378593,3.164784,0.6656373,1.3377613,0.036374837,8
33,0.24544555,0.9175407,4.679913,0.8902732,0.25903118,0.26908845,9
34,0.30325332,0.8663134,1.8537593,0.9036015,1.3959148,0.058482617,10
35,0.053994663,0.8936678,1.3373423,0.7976793,1.3784366,0.35330677,11
36,0.62920827,0.89087695,4.4507036,0.9878544,0.9963847,0.11777129,12
37,0.86747366,0.93250835,3.3896894,0.9361088,0.22084491,0.5658928,13
38,0.951064,0.82168686,4.0335565,0.51184696,2.087383,0.06979635,14
39,0.10082623,0.9914551,3.4315453,0.9622422,1.3372872,0.046482317,15
40,0.12254071,0.7523853,0.8473719,0.8962312,0.34516764,0.20819125,16
41,0.7721519,0.014829315,2.5107617,0.52418953,1.0720935,0.037634954,17
42,0.7471628,0.8010779,1.854632,0.9061744,1.6426756,0.5164589,18
43,0.8454474,0.98875904,2.221033,0.9656245,0.5424372,0.05472853,19
