,inferred dec temp,true dec temp,subject,inferred reward rate,true reward rate
0,3.6018977,2.985854,0,0.3182057,0.12453228
1,3.3911822,3.474972,1,0.6558214,0.98036367
2,3.2169044,2.915101,2,0.5819319,0.46609557
3,3.2078145,1.921166,3,0.6429383,0.9282151
4,3.1621466,3.03948,4,0.67159754,0.9657949
5,3.0222175,2.866488,5,0.62769103,0.59229636
6,3.5987988,2.9292421,6,0.3233098,0.14809638
7,3.376492,4.41247,7,0.6132944,0.7735674
8,3.0638707,1.2202466,8,0.663734,0.99944794
9,3.1608207,2.5316699,9,0.539095,0.53783596
10,4.082913,3.8889534,10,0.62902683,0.73709846
11,3.1819882,2.7011304,11,0.66892564,0.9386166
12,3.213436,3.0312605,12,0.6538862,0.76363194
13,3.0856376,2.5685062,13,0.5799934,0.35986894
14,3.1560278,1.254572,14,0.6637611,0.9721481
15,6.6214685,5.250103,15,0.5847621,0.54388916
16,3.2952354,3.1391163,16,0.31056294,0.28879577
17,3.2507188,2.3514438,17,0.6395504,0.8242087
18,4.972578,4.3831673,18,0.64977694,0.62961304
19,3.286525,2.086682,19,0.5808066,0.39308274
20,3.3123956,1.4251859,20,0.6403668,0.82478744
21,3.1179,1.4272261,21,0.6576286,0.55408305
22,4.190463,3.0738835,22,0.5850161,0.5323049
23,6.1752887,5.485931,23,0.4247492,0.4466561
