,locs0,locs1,subject
0,-1.3542808,-0.79107034,0
1,1.4613367,-0.9758141,1
2,-0.056927443,-1.3767767,2
3,0.42166433,-0.46723354,3
4,1.28651,-1.2586256,4
5,1.1488316,-1.1947417,5
6,-0.7758221,-1.2077229,6
7,0.8445926,-0.46045932,7
8,2.1651053,-1.6618061,8
9,-0.28965798,-1.3066249,9
10,0.20373756,-0.2366336,10
11,0.5918711,-2.142188,11
12,0.43132913,-0.873036,12
13,-0.022303205,-1.6112617,13
14,1.3791169,-1.156236,14
15,0.05441925,0.2913823,15
16,-1.1822914,-1.1359998,16
17,0.79942334,-1.0470192,17
18,1.5745614,-0.32780796,18
19,-0.14059839,-1.9396677,19
20,1.1166023,-0.41212207,20
21,0.31548852,-1.804259,21
22,0.57043266,-0.68367356,22
23,0.3325575,0.62155294,23
24,-0.71104234,-0.4736985,0
25,1.3934839,-0.88110024,1
26,-0.70832634,-1.4629184,2
27,1.6328804,-0.7161107,3
28,1.0657637,-2.1307478,4
29,-0.058274508,-1.2273526,5
30,-1.8905766,-0.6919001,6
31,-0.029040694,-1.0568193,7
32,0.044029474,-1.401471,8
33,-0.10069076,-0.917145,9
34,1.1591643,-0.6330646,10
35,1.2662371,-1.4097617,11
36,0.43020225,-0.72882056,12
37,1.1387551,-0.96726346,13
38,0.6949422,-0.51875436,14
39,0.7230419,0.686909,15
40,-1.0222421,-1.2522588,16
41,1.0235274,-1.6757302,17
42,0.8313763,0.54775697,18
43,0.96727186,-0.10899484,19
44,1.697599,-1.5883429,20
45,0.8478824,-1.0336927,21
46,0.6640899,-0.31665576,22
47,-0.6386051,0.36718997,23
48,-1.3068606,-0.2796553,0
49,0.32174617,-0.69554013,1
50,0.4580174,-0.20130801,2
51,0.44092876,-1.629501,3
52,1.3912969,-1.6288592,4
53,-0.42209458,-1.8880744,5
54,-0.6907439,-0.7218188,6
55,1.2887398,-0.41940844,7
56,0.22062159,-1.098892,8
57,-0.08759004,-1.236209,9
58,1.4640278,-0.75596094,10
59,0.3239054,-2.0228672,11
60,0.91796523,-1.3701302,12
61,0.11358852,-0.9222626,13
62,1.5154972,-1.3266772,14
63,0.47733918,1.1560535,15
64,-1.0486097,-0.931868,16
65,0.52488434,-1.1370809,17
66,0.7949896,-0.0044381395,18
67,1.1612949,-0.97764266,19
68,1.8613955,-1.5161768,20
69,1.5742488,-1.4730805,21
70,0.93604577,-0.27209902,22
71,-0.5669198,-0.20145506,23
72,-1.46696,-0.31292894,0
73,1.3460126,-0.32575732,1
74,0.20340422,-0.40908223,2
75,0.75375384,-1.1264428,3
76,1.0698291,-1.0805386,4
77,-0.24924558,-0.9486003,5
78,-2.871265,-0.52065897,6
79,1.2908235,-0.93296903,7
80,1.6588333,-1.5452687,8
81,0.21560472,-1.2906857,9
82,1.1584027,0.03677982,10
83,1.0365485,-0.9086825,11
84,0.82643694,-1.1021515,12
85,0.55397236,-1.1411779,13
86,0.40095782,-1.3983115,14
87,0.52222776,1.0304351,15
88,-1.2063959,-0.68880045,16
89,1.3057288,-1.0714267,17
90,0.49550825,-0.7346105,18
91,-0.18362637,-0.29089957,19
92,-0.7754793,-0.93970704,20
93,-0.13690162,-1.0076879,21
94,0.5897192,0.048314482,22
95,-0.80410546,0.7319306,23
96,-1.4816617,-0.6997824,0
97,0.62481046,-0.812834,1
98,0.4822329,-1.1858383,2
99,0.55474794,-0.7854375,3
100,0.7933292,-1.4157115,4
101,0.050525695,-1.7026387,5
102,-1.8308192,-1.0030582,6
103,0.36271477,-0.5656639,7
104,1.11176,-1.851299,8
105,0.3041332,-0.46776402,9
