,reward rate,dec temp,subject
0,0.20517139,3.1193888,0
1,0.811737,2.7372313,1
2,0.48577198,2.0152717,2
3,0.6038815,3.8527126,3
4,0.78355587,2.2121058,4
5,0.75929743,2.3241196,5
6,0.315221,2.301042,6
7,0.69943154,3.8687687,7
8,0.8970719,1.595197,8
9,0.42808762,2.1305218,9
10,0.5507589,4.411161,10
11,0.64379436,1.0506349,11
12,0.606191,2.9462295,12
13,0.4944244,1.664135,13
14,0.79884917,2.393519,14
15,0.5136015,5.7233453,15
16,0.23464045,2.4305556,16
17,0.6898511,2.597979,17
18,0.8284329,4.187741,18
19,0.46490818,1.2568437,19
20,0.7533579,3.9840338,20
21,0.57822436,1.4133341,21
22,0.638863,3.3544188,22
23,0.5823815,6.5057173,23
24,0.32936856,3.8374124,0
25,0.8011478,2.9294982,1
26,0.32996878,1.8802137,2
27,0.8365638,3.2824998,3
28,0.74379045,1.0614402,4
29,0.48543552,2.2664511,5
30,0.13117874,3.3361053,6
31,0.4927403,2.5791776,7
32,0.5110056,1.9758278,8
33,0.47484854,2.8553996,9
34,0.7611809,3.4681594,10
35,0.7800979,1.9627166,11
36,0.605922,3.2545357,12
37,0.757451,2.754263,13
38,0.66706544,3.7314355,14
39,0.67327654,6.6527896,15
40,0.2645909,2.2230937,16
41,0.7356591,1.5766168,17
42,0.69664586,6.33615,18
43,0.7245754,4.7277822,19
44,0.8452209,1.6961716,20
45,0.7001227,2.6236882,21
46,0.66017854,4.21491,22
47,0.34556192,5.9077983,23
48,0.21301265,4.3053827,0
49,0.57974976,3.3280177,1
50,0.61254376,4.4984226,2
51,0.6084803,1.6389873,3
52,0.8007992,1.639867,4
53,0.39601564,1.3146418,5
54,0.3338676,3.269926,6
55,0.7839338,3.9665833,7
56,0.5549328,2.4994757,8
57,0.47811648,2.2509654,9
58,0.812148,3.1952384,10
59,0.5802758,1.1682284,11
60,0.7146273,2.025988,12
61,0.5283667,2.8449707,13
62,0.81987447,2.0970955,14
63,0.6171193,7.6061487,15
64,0.25949216,2.825459,16
65,0.62828916,2.4285672,17
66,0.68890166,4.988905,18
67,0.7615679,2.7335978,19
68,0.8654595,1.800252,20
69,0.82838845,1.8647485,21
70,0.7183002,4.3239183,22
71,0.36194786,4.498059,23
72,0.18740512,4.2239995,0
73,0.79347694,4.192733,1
74,0.55067647,3.9913223,2
75,0.6799961,2.4481816,3
76,0.7445644,2.534041,4
77,0.43800917,2.7916641,5
78,0.05359246,3.7269816,6
79,0.78428656,2.8232276,7
80,0.84008133,1.7577066,8
81,0.55369335,2.1573677,9
82,0.7610424,5.091939,10
83,0.7381835,2.872695,11
84,0.695601,2.4933698,12
85,0.63505673,2.4210415,13
86,0.5989178,1.9808419,14
87,0.62766856,7.3700023,15
88,0.23033938,3.343,16
89,0.7867975,2.5513184,17
90,0.62140316,3.241838,18
91,0.454222,4.2778363,19
92,0.315295,2.809595,20
93,0.46582797,2.6743257,21
94,0.6433007,5.120763,22
95,0.309148,6.7522883,23
96,0.18517657,3.318605,0
97,0.6513118,3.0728693,1
98,0.618275,2.3400407,2
99,0.63523644,3.1314917,3
100,0.68854576,1.9533474,4
101,0.51262873,1.5412093,5
102,0.13814071,2.6834056,6
103,0.5896975,3.6223795,7
104,0.7524571,1.3572044,8
105,0.5754526,3.8514557,9
106,0.72949564,6.447186,10
107,0.66747665,2.2331748,11
108,0.68132013,2.0615475,12
109,0.54870147,2.9588604,13
110,0.7382968,2.686122,14
111,0.7037545,5.460019,15
112,0.17066848,2.667129,16
113,0.57828397,2.2460222,17
114,0.75481635,5.622492,18
115,0.49078012,3.5643337,19
116,0.42093188,3.8060536,20
117,0.7836904,2.2215085,21
118,0.34297302,3.0505846,22
119,0.3061721,4.3670197,23
120,0.3387305,2.962173,0
121,0.80997425,3.5279145,1
122,0.61037433,2.854725,2
123,0.7893825,1.6834663,3
124,0.81869453,2.2316628,4
125,0.70074064,1.5947547,5
126,0.2060533,2.854668,6
127,0.567085,3.1563845,7
128,0.8677998,2.259791,8
129,0.6351555,2.331897,9
130,0.7482401,4.770308,10
131,0.65303713,1.9084309,11
132,0.911592,2.9494462,12
133,0.5790132,3.338928,13
134,0.84935623,1.7581084,14
135,0.6045626,5.1193504,15
136,0.32716337,3.4413972,16
137,0.5050119,2.382412,17
138,0.79524904,4.991101,18
139,0.4967015,2.1598065,19
140,0.3468417,1.2716938,20
141,0.5916855,2.024686,21
142,0.65935785,3.2864666,22
143,0.3873817,6.3916674,23
144,0.17690179,2.6119137,0
145,0.7924003,2.5406482,1
146,0.25331363,1.4028246,2
147,0.489545,2.189121,3
148,0.6411497,2.2400723,4
149,0.43017784,2.2645047,5
150,0.17668682,2.7914658,6
151,0.5065783,3.5613775,7
152,0.66207445,1.7211651,8
153,0.4840855,3.0858777,9
154,0.62453324,3.5901628,10
155,0.84583634,2.652426,11
156,0.6569986,1.829293,12
157,0.5409711,2.3585,13
158,0.6986287,1.9198146,14
159,0.5747452,6.7356424,15
160,0.2423175,4.823371,16
161,0.7073013,1.7158744,17
162,0.7893673,6.0123153,18
163,0.697699,1.4869092,19
164,0.75875616,2.1510782,20
165,0.72218466,1.8221993,21
166,0.6120803,4.836509,22
167,0.41131362,4.8800335,23
168,0.15893805,3.2890203,0
169,0.75900745,2.4578545,1
170,0.659424,2.466865,2
171,0.7436701,2.752209,3
172,0.8373834,2.1436825,4
173,0.3292123,1.7319274,5
174,0.43255952,3.8171725,6
175,0.74042016,3.3370712,7
176,0.7239529,2.7250285,8
177,0.20445116,2.1477242,9
178,0.73043895,4.442013,10
179,0.87296766,3.5667088,11
180,0.66057193,2.6970708,12
181,0.36360535,1.6056324,13
182,0.6506256,1.7356008,14
183,0.60800797,6.2352,15
184,0.19194353,2.1767871,16
185,0.6504263,2.4573066,17
186,0.79587346,4.4931536,18
187,0.65029377,2.0725307,19
188,0.5843743,3.288063,20
189,0.8260435,2.3382676,21
190,0.70038724,4.9594703,22
191,0.3910942,4.066511,23
192,0.35136843,2.73847,0
193,0.7900481,3.5074952,1
194,0.6301998,2.6618612,2
195,0.47459537,2.4139879,3
196,0.77277064,1.6672602,4
197,0.48913658,1.9793028,5
198,0.27955663,4.5876303,6
199,0.65448457,3.0458877,7
200,0.75325847,2.5804925,8
201,0.44206563,3.2461648,9
202,0.40336865,3.7585988,10
203,0.5555333,1.0150274,11
204,0.48163843,2.6720917,12
205,0.56815195,2.7982237,13
206,0.81843495,2.79802,14
207,0.60722786,5.9879303,15
208,0.3671948,2.9637086,16
209,0.8227977,3.088493,17
210,0.74229044,4.149191,18
211,0.26699194,2.0499825,19
212,0.6794888,3.2199602,20
213,0.72950464,2.3951356,21
214,0.5245157,4.655651,22
215,0.39095372,6.446054,23
216,0.18535718,3.025868,0
217,0.7848283,3.2153955,1
218,0.5520055,3.7974727,2
219,0.7156094,2.1130166,3
220,0.7608895,1.4555043,4
221,0.32912362,1.8574793,5
222,0.10936397,2.9738326,6
223,0.53285843,3.5817523,7
224,0.7885369,2.906139,8
225,0.6117199,3.3402777,9
226,0.6161199,3.5447416,10
227,0.6334119,2.1563098,11
228,0.75425017,1.7412105,12
229,0.5844445,2.7968943,13
230,0.55883145,1.8630325,14
231,0.6639754,6.943119,15
232,0.3002205,2.9016755,16
233,0.80769265,2.8248458,17
234,0.7385623,5.861798,18
235,0.4137129,3.2647185,19
236,0.7643597,2.5611546,20
237,0.5264333,2.382169,21
238,0.5112011,3.2712624,22
239,0.391788,4.670873,23
240,0.22569591,2.9108155,0
241,0.65952903,2.4895818,1
242,0.5901568,3.6763504,2
243,0.75888807,2.0338204,3
244,0.69526553,2.4382365,4
245,0.7515465,3.6023953,5
246,0.22600345,2.794429,6
247,0.8417494,3.989244,7
248,0.873472,1.7854112,8
249,0.3037397,2.8955913,9
250,0.6057383,3.4963343,10
251,0.89957017,2.2348862,11
252,0.90005076,3.4994876,12
253,0.6327498,2.8650937,13
254,0.7613901,2.1478124,14
255,0.61814326,7.6333003,15
256,0.2350083,3.7103739,16
257,0.5327819,3.533637,17
258,0.54276425,3.8838794,18
259,0.7174947,3.0111158,19
260,0.6573454,2.223901,20
261,0.74565685,2.782989,21
262,0.70993114,5.667185,22
263,0.40745902,6.931609,23
264,0.11831835,2.5994015,0
265,0.75368047,3.6937451,1
266,0.36023623,1.2798948,2
267,0.81927633,2.626295,3
268,0.83742565,3.3592627,4
269,0.6169365,3.5788152,5
270,0.23703243,3.1427302,6
271,0.7731345,3.2612576,7
272,0.599533,1.6372777,8
273,0.34412432,2.6136873,9
274,0.73420185,3.819748,10
275,0.7562741,1.6238004,11
276,0.6952026,2.4041648,12
277,0.34099644,1.0372366,13
278,0.509454,2.1421733,14
279,0.5964462,7.3438225,15
280,0.26491663,3.62381,16
281,0.49430728,1.4284759,17
282,0.87703633,6.41905,18
283,0.63085335,3.2308867,19
284,0.8118844,2.2556522,20
285,0.7661074,2.1302571,21
286,0.56147987,2.2943892,22
287,0.2478589,5.329675,23
288,0.27012956,3.8450928,0
289,0.7216881,2.948255,1
290,0.44158995,3.0460691,2
291,0.9087984,2.7125647,3
292,0.8918561,2.8626919,4
293,0.82834613,1.9657606,5
294,0.21991853,2.9371068,6
295,0.43192458,3.741009,7
296,0.59526396,1.870843,8
297,0.28145638,2.1978028,9
298,0.7538138,4.0043635,10
299,0.71882015,2.6015577,11
300,0.57298267,2.0768244,12
301,0.16287144,2.4765449,13
302,0.7092867,1.6920958,14
303,0.63542515,7.1138334,15
304,0.24353811,4.3032284,16
305,0.6853021,2.609006,17
306,0.7699917,5.943348,18
307,0.8140214,2.3669124,19
308,0.61342394,1.6332042,20
309,0.54894704,2.385364,21
310,0.33955845,3.8932202,22
311,0.5879888,6.935507,23
312,0.19267555,4.3243165,0
313,0.8489023,3.202057,1
314,0.618452,3.233099,2
315,0.6836576,1.864975,3
316,0.6316967,2.0972283,4
317,0.63534063,2.317529,5
318,0.35881335,4.049187,6
319,0.6611427,3.8490086,7
320,0.80609274,2.8387835,8
321,0.59009135,3.1788778,9
322,0.56440276,4.2460666,10
323,0.8259211,2.8580604,11
324,0.827257,2.7954216,12
325,0.41766858,2.0672946,13
326,0.6291867,2.1285355,14
327,0.51584285,7.0160775,15
328,0.1476969,3.139856,16
329,0.42655975,2.6490088,17
330,0.8866013,5.1171656,18
331,0.4610285,1.7139171,19
332,0.79212725,2.7648883,20
333,0.7106063,0.6758251,21
334,0.63986576,6.1305146,22
335,0.4087949,6.096197,23
336,0.28351215,3.7295964,0
337,0.7320678,3.2032976,1
338,0.422323,4.16307,2
339,0.87777776,0.99127495,3
340,0.5471849,2.0462015,4
341,0.81307,3.8781323,5
342,0.1736288,5.309087,6
343,0.5984498,3.2044554,7
344,0.72997826,2.101233,8
345,0.6033484,2.433071,9
346,0.55387026,4.5161133,10
347,0.8796332,2.8262224,11
348,0.81810707,3.3162796,12
349,0.4682807,2.6419134,13
350,0.5971229,1.5938518,14
351,0.4982322,7.040433,15
352,0.22569598,2.4131513,16
353,0.5974022,3.114654,17
354,0.6001793,4.818249,18
355,0.7333881,3.4843688,19
356,0.89983505,2.5729218,20
357,0.6284337,1.3164289,21
358,0.55473906,5.137441,22
359,0.48340943,6.6275144,23
360,0.29585195,3.1221242,0
361,0.8014073,2.780673,1
362,0.7848405,2.5260737,2
363,0.4799698,1.81938,3
364,0.5689866,1.5470681,4
365,0.56579554,1.9387531,5
366,0.13658494,4.014493,6
367,0.61702174,2.9108522,7
368,0.801855,3.0558424,8
369,0.5673323,4.752639,9
370,0.64161015,4.077369,10
371,0.8243261,2.5693214,11
372,0.63096917,2.5021544,12
373,0.33219242,1.8064468,13
374,0.92097837,3.5585446,14
375,0.4497128,6.717581,15
376,0.19190644,2.3889503,16
377,0.69696254,2.3606517,17
378,0.8327516,5.3964095,18
379,0.2304559,2.9715014,19
380,0.7761986,3.8105514,20
381,0.63126796,2.1718123,21
382,0.48484254,5.4500294,22
383,0.46511325,5.5743356,23
384,0.16141854,3.3167207,0
385,0.60141295,3.644621,1
386,0.40005177,2.1448474,2
387,0.72942567,2.1510143,3
388,0.60868734,1.7848395,4
389,0.8066185,1.8730206,5
390,0.16204932,3.620512,6
391,0.48768193,2.5309277,7
392,0.77484983,2.5572786,8
393,0.28173655,2.0218725,9
394,0.704967,3.2975311,10
395,0.8810105,1.7587656,11
396,0.6879465,3.032504,12
397,0.6661771,2.1239972,13
398,0.7389944,2.1666713,14
399,0.55060154,6.8525724,15
400,0.16912629,2.2506258,16
401,0.6734124,4.664789,17
402,0.7399012,5.103709,18
403,0.7737985,3.0077407,19
404,0.7332336,1.810519,20
405,0.7409483,1.9246727,21
406,0.5590841,2.956805,22
407,0.28662413,6.0600095,23
408,0.2547635,3.279408,0
409,0.8129459,2.1334293,1
410,0.6087717,3.4839294,2
411,0.6499093,1.6767777,3
412,0.62590694,2.1029458,4
413,0.59028244,3.343034,5
414,0.13744815,3.4397852,6
415,0.6273267,2.4675848,7
416,0.8110012,0.95591754,8
417,0.4957637,3.3562615,9
418,0.7673424,5.3666496,10
419,0.7676044,3.2317092,11
420,0.5461235,2.3401017,12
421,0.6135131,1.9574454,13
422,0.73848,2.3630514,14
423,0.5550315,5.6444163,15
424,0.31488708,3.9643817,16
425,0.8453636,2.7885606,17
426,0.6129078,5.9667225,18
427,0.37872463,3.1280806,19
428,0.45721814,3.2360508,20
429,0.79204285,1.2479432,21
430,0.4416335,4.905653,22
431,0.44844612,6.159844,23
432,0.23106241,2.2047935,0
433,0.76660633,2.0993013,1
434,0.29702827,2.366981,2
435,0.455379,3.0680702,3
436,0.75908375,1.8615768,4
437,0.3572534,1.5979123,5
438,0.15376237,2.970072,6
439,0.73824394,3.8670945,7
440,0.73692924,1.6317308,8
441,0.34544414,2.50807,9
442,0.65480876,3.6220827,10
443,0.90713316,3.6179752,11
444,0.8199473,2.4507103,12
445,0.7504661,2.0950978,13
446,0.7295046,1.6829102,14
447,0.49125928,8.095808,15
448,0.34948426,2.1804574,16
449,0.85870445,1.3732154,17
450,0.715205,5.8094068,18
451,0.54418236,3.7695944,19
452,0.6410442,2.7246609,20
453,0.7148056,1.6478871,21
454,0.5749196,5.039594,22
455,0.4703249,4.9992375,23
456,0.21783715,4.789921,0
457,0.8282509,2.7029278,1
458,0.53067756,2.413289,2
459,0.68582654,2.3012826,3
460,0.61897033,2.4318752,4
461,0.5886558,1.4718043,5
462,0.13384645,3.1322727,6
463,0.60194266,2.7148426,7
464,0.76191264,2.3893445,8
465,0.5297111,3.6687646,9
466,0.7426206,4.2067533,10
467,0.9388454,4.410558,11
468,0.7640285,4.3236523,12
469,0.41326955,2.056923,13
470,0.8474533,1.561898,14
471,0.52271307,6.2512407,15
472,0.43871728,2.3901608,16
473,0.7613745,2.1298351,17
474,0.705906,4.880749,18
475,0.28035185,2.7078547,19
476,0.8255264,2.6953173,20
477,0.7674667,2.3715699,21
478,0.52971715,2.7983716,22
479,0.28159556,6.377575,23
480,0.22159263,2.8966532,0
481,0.6771983,3.8813558,1
482,0.54807085,1.702181,2
483,0.76057905,2.5376344,3
484,0.7896054,1.5478673,4
485,0.63996106,1.0639462,5
486,0.103195414,4.3016906,6
487,0.7400818,2.9298816,7
488,0.72609854,1.123918,8
489,0.5878493,2.252677,9
490,0.5405952,3.3868277,10
491,0.5971449,2.0283327,11
492,0.54424906,3.4508383,12
493,0.5039137,2.4969075,13
494,0.6858306,2.6900945,14
495,0.47952154,6.6923294,15
496,0.2568009,1.884687,16
497,0.69402474,1.0910068,17
498,0.8827355,5.9533286,18
499,0.7097283,1.9547875,19
500,0.71785045,3.032013,20
501,0.6931887,1.7649866,21
502,0.48358625,1.917159,22
503,0.35886604,6.3012094,23
504,0.24065416,3.2832444,0
505,0.8287839,3.2885191,1
506,0.20097527,2.1747496,2
507,0.5863316,1.8548006,3
508,0.8659759,2.675168,4
509,0.52650917,3.6413229,5
510,0.13562201,3.2555625,6
511,0.5841539,4.382244,7
512,0.82237524,2.0360966,8
513,0.47361103,3.5400844,9
514,0.52099335,2.910347,10
515,0.6675986,2.0787835,11
516,0.7777341,2.0588362,12
517,0.5903514,3.3742378,13
518,0.704974,3.2466366,14
519,0.6329173,8.459991,15
520,0.15830743,2.4022884,16
521,0.7886526,2.700337,17
522,0.73827547,4.124699,18
523,0.5868097,3.6977684,19
524,0.6678865,4.0311055,20
525,0.7253657,1.0345969,21
526,0.4259774,4.318329,22
527,0.36727688,5.504095,23
528,0.24555756,3.3920822,0
529,0.6303682,3.2637458,1
530,0.5764351,2.4434152,2
531,0.8553458,2.4966595,3
532,0.7793681,2.0781803,4
533,0.71330357,3.1343694,5
534,0.24866234,3.229017,6
535,0.8731967,3.9321957,7
536,0.42263928,1.1077986,8
537,0.5420122,2.433577,9
538,0.79439217,3.4137187,10
539,0.81180465,2.4687498,11
540,0.8889972,2.1164296,12
541,0.6609722,3.3100042,13
542,0.5351415,2.4865575,14
543,0.65850645,7.399987,15
544,0.15993786,2.639158,16
545,0.6981486,3.215145,17
546,0.5267203,4.4388494,18
547,0.64659894,2.839364,19
548,0.64041,1.2250392,20
549,0.5406245,1.7668111,21
550,0.59442586,3.7168314,22
551,0.2564347,5.4133453,23
552,0.09779255,2.8202987,0
553,0.8377372,3.9596376,1
554,0.31328726,2.7031348,2
555,0.7052962,2.5441794,3
556,0.73468304,1.4136726,4
557,0.67710066,4.448388,5
558,0.21296862,3.3507576,6
559,0.6713231,2.5785336,7
560,0.77879554,1.530083,8
561,0.24626565,2.3881974,9
562,0.7529433,3.9992924,10
563,0.767156,1.5437843,11
564,0.46226865,1.6357145,12
565,0.69266593,1.9557512,13
566,0.77438617,2.7643924,14
567,0.6328673,6.272459,15
568,0.21481276,3.2512088,16
569,0.75742525,1.2158729,17
570,0.58343923,4.561085,18
571,0.60090834,4.9288044,19
572,0.42472908,1.7118411,20
573,0.57569593,3.0083263,21
574,0.5692702,3.8105526,22
575,0.43438888,7.4771123,23
576,0.30419475,4.851409,0
577,0.8250211,2.2447152,1
578,0.58888847,1.1871426,2
579,0.44739872,1.4838114,3
580,0.8296651,2.4358275,4
581,0.58408475,1.5107888,5
582,0.13295928,3.157198,6
583,0.72272044,3.269277,7
584,0.5325634,1.1043198,8
585,0.58534414,2.2004771,9
586,0.812332,4.205396,10
587,0.5222521,1.4262651,11
588,0.7784727,3.0438843,12
589,0.7852104,2.324763,13
590,0.752947,3.239546,14
591,0.6628254,6.378125,15
592,0.22775044,2.0211637,16
593,0.7358912,2.59798,17
594,0.771138,4.6283693,18
595,0.5134702,3.211081,19
596,0.7062044,3.17397,20
597,0.8442831,2.0692368,21
598,0.5034559,3.2787871,22
599,0.42136592,5.098254,23
600,0.2215259,3.7918363,0
601,0.9032343,2.339305,1
602,0.2664491,1.8510556,2
603,0.48161492,1.6242884,3
604,0.75518537,1.5983034,4
605,0.6994797,2.8484523,5
606,0.22140203,2.153531,6
607,0.587711,5.0002785,7
608,0.70715284,1.617739,8
609,0.59398204,1.3372029,9
610,0.673394,3.470089,10
611,0.52967054,1.4844296,11
612,0.79216534,3.1473985,12
613,0.71294254,2.0373688,13
614,0.63763225,1.88976,14
615,0.61587095,6.6348877,15
616,0.2922892,3.3880618,16
617,0.5715065,0.8418199,17
618,0.83879787,7.2925477,18
619,0.6887638,1.8933198,19
620,0.79326886,1.4893618,20
621,0.62918276,2.2412686,21
622,0.47381365,3.1348777,22
623,0.31442326,5.478677,23
624,0.23216772,2.9888048,0
625,0.87787604,2.7053978,1
626,0.77051586,2.7770295,2
627,0.6058677,3.0720673,3
628,0.7434603,2.3688421,4
629,0.6541875,2.4819365,5
630,0.10995316,2.2329,6
631,0.7100396,2.834327,7
632,0.75159836,1.115015,8
633,0.37185878,2.0203512,9
634,0.6172149,5.83099,10
635,0.55867004,1.7897391,11
636,0.778428,2.639656,12
637,0.7253797,2.2699866,13
638,0.7155269,2.6513984,14
639,0.63989156,6.3957024,15
640,0.25884026,3.4140575,16
641,0.7620207,2.997932,17
642,0.8078378,6.7474823,18
643,0.27598175,2.3115892,19
644,0.6518424,2.3562367,20
645,0.7045135,1.8029032,21
646,0.6185312,2.9346635,22
647,0.35556057,5.8891387,23
648,0.24645504,2.3558598,0
649,0.730793,3.120295,1
650,0.4191298,2.4802158,2
651,0.7674729,3.4287622,3
652,0.83564883,3.2963152,4
653,0.6526855,2.3037422,5
654,0.08893729,2.3417268,6
655,0.68669933,3.5697455,7
656,0.69608086,1.507364,8
657,0.5222422,3.038944,9
658,0.59653366,4.461954,10
659,0.94494337,3.7535152,11
660,0.82339483,1.3587059,12
661,0.40117732,2.2000709,13
662,0.69258904,1.7434202,14
663,0.5637445,7.289258,15
664,0.21488261,3.81424,16
665,0.52768415,1.8774043,17
666,0.5911974,4.5200925,18
667,0.4262645,3.61341,19
668,0.7868661,3.8128421,20
669,0.7010313,1.4525933,21
670,0.5877844,6.017175,22
671,0.53058434,7.8139744,23
672,0.18646045,2.577004,0
673,0.7553403,2.1802633,1
674,0.29672715,2.7338874,2
675,0.6628323,1.8742075,3
676,0.56119484,2.024103,4
677,0.81946015,2.1827407,5
678,0.08725722,4.3239846,6
679,0.7870814,2.9548464,7
680,0.80884963,1.8944083,8
681,0.5075442,2.2847733,9
682,0.7783428,3.7657075,10
683,0.7440251,1.8042821,11
684,0.78317606,1.8597279,12
685,0.42875022,2.149125,13
686,0.7793265,2.687764,14
687,0.8025592,5.923671,15
688,0.3809294,2.8085878,16
689,0.46566352,2.151534,17
690,0.743868,6.671758,18
691,0.45869693,3.0271773,19
692,0.51549226,3.0256138,20
693,0.65256196,1.888571,21
694,0.61257166,3.385707,22
695,0.5021975,7.25929,23
696,0.19874792,3.3149977,0
697,0.93408644,3.348851,1
698,0.48234823,3.0841513,2
699,0.85453457,2.5889502,3
700,0.48532164,1.741456,4
701,0.7321106,1.6741501,5
702,0.25354403,3.0408049,6
703,0.29070392,2.1786299,7
704,0.7024781,1.7984517,8
705,0.4882067,2.438374,9
706,0.5924225,4.793819,10
707,0.8607341,2.3103895,11
708,0.44190004,2.3855355,12
709,0.28698146,2.8372834,13
710,0.7931477,2.6562192,14
711,0.3346795,5.35396,15
712,0.25918493,3.3024108,16
713,0.7278481,2.6890035,17
714,0.6041254,5.769217,18
715,0.65189517,1.5942651,19
716,0.80957717,2.575286,20
717,0.3480537,1.3470938,21
718,0.33056042,3.5600333,22
719,0.23809324,6.229999,23
720,0.3425203,4.2362385,0
721,0.8146919,3.3164773,1
722,0.5903376,2.377586,2
723,0.33912674,1.8880212,3
724,0.74103016,2.5953104,4
725,0.52399695,2.2626605,5
726,0.14900179,4.202853,6
727,0.35595247,2.3508492,7
728,0.6871643,1.2775165,8
729,0.26092267,2.5914497,9
730,0.5679314,3.135931,10
731,0.78797376,2.7937098,11
732,0.57968813,3.0412126,12
733,0.6346618,3.268486,13
734,0.85628325,2.2380457,14
735,0.6209922,7.662423,15
736,0.31794518,3.9835966,16
737,0.39668652,2.160651,17
738,0.6884546,5.0326257,18
739,0.28410953,1.0115398,19
740,0.6188097,2.607625,20
741,0.8352685,1.6958958,21
742,0.3156709,3.6109304,22
743,0.49287754,2.8200998,23
744,0.25113747,3.1886446,0
745,0.7078488,2.6776023,1
746,0.61655825,2.7174103,2
747,0.42019743,1.0978831,3
748,0.7892183,1.4683022,4
749,0.68712735,2.7623608,5
750,0.21062003,4.03782,6
751,0.6056821,3.4475849,7
752,0.87935925,1.8422197,8
753,0.44958,1.9368435,9
754,0.6867816,4.23501,10
755,0.7564871,2.0172045,11
756,0.818035,2.9498816,12
757,0.29231724,1.2460657,13
758,0.70528626,2.8171659,14
759,0.5042816,6.74083,15
760,0.21117072,2.6941168,16
761,0.5844061,2.0419524,17
762,0.76576835,3.9011545,18
763,0.49011075,1.9256215,19
764,0.71411735,2.3405385,20
765,0.6232682,1.9341916,21
766,0.7556084,3.7900515,22
767,0.28899467,5.4701657,23
768,0.1813229,2.6067643,0
769,0.6332481,2.3586998,1
770,0.546943,2.4259665,2
771,0.7212049,3.5998883,3
772,0.8007519,1.6122351,4
773,0.46522176,2.0437245,5
774,0.20668206,3.1136153,6
775,0.71475095,4.4169083,7
776,0.8738327,2.7288089,8
777,0.51500356,2.8440814,9
778,0.63302803,4.9095936,10
779,0.66989034,0.9732134,11
780,0.7912124,3.9052055,12
781,0.70940197,2.9490173,13
782,0.88797617,2.6917014,14
783,0.6267384,5.9208198,15
784,0.24688593,3.152197,16
785,0.78847283,3.2829425,17
786,0.83909535,4.818746,18
787,0.34894824,2.0180497,19
788,0.7934807,1.7446924,20
789,0.70272845,2.4736598,21
790,0.5304112,2.856392,22
791,0.5178546,5.34971,23
792,0.35362414,4.3117604,0
793,0.8304446,3.2694948,1
794,0.7760245,3.0147448,2
795,0.8363981,3.262637,3
796,0.7406627,1.5892253,4
797,0.594537,2.4164345,5
798,0.26305,3.4061074,6
799,0.74027365,3.0416694,7
800,0.5484803,2.1055417,8
801,0.65691954,2.1353703,9
802,0.74322355,5.4489465,10
803,0.8071135,2.1257348,11
804,0.7829381,3.917584,12
805,0.41072255,2.7218044,13
806,0.82932556,3.0373292,14
807,0.61443645,5.996953,15
808,0.4614803,3.9627006,16
809,0.78409785,2.4770632,17
810,0.7908507,6.278367,18
811,0.66667694,2.275015,19
