,inferred dec temp,true dec temp,subject,inferred reward rate,true reward rate
0,3.9546137,4.6803665,0,0.778064,0.89528286
1,2.0705194,1.8546319,1,0.508348,0.48954105
2,3.5233219,2.9608946,2,0.67870075,0.89509636
3,1.9442518,1.574885,3,0.6412041,0.7411171
4,2.3687432,1.6942997,4,0.22764462,0.0626052
5,4.3297253,4.38249,5,0.3844975,0.33238614
6,5.529082,4.8863745,6,0.814766,0.8827506
7,2.0527828,1.6783551,7,0.75604856,0.97116756
8,3.2054887,3.150595,8,0.6256388,0.6539576
9,3.674081,3.5897753,9,0.34122792,0.35856646
10,2.2404094,1.8647261,10,0.6128843,0.7900239
11,5.662872,4.869643,11,0.36709496,0.347318
12,5.024306,5.8254833,12,0.6444058,0.70203066
13,2.6604595,2.7618818,13,0.6276915,0.54184306
14,2.1859517,1.9963202,14,0.61863565,0.6416459
15,2.8948162,3.5149121,15,0.70637095,0.8669046
16,4.91649,4.4615746,16,0.7630323,0.9567486
17,2.259125,2.1265872,17,0.42687553,0.49567848
18,2.7365694,2.2113044,18,0.36546522,0.3024546
19,2.4578056,2.1034374,19,0.26869,0.18525928
20,2.6126919,2.42693,20,0.50338507,0.43116176
21,4.7131925,5.9986496,21,0.59753054,0.57900494
22,4.997293,5.904837,22,0.7528208,0.8123191
23,4.603694,4.1471343,23,0.76947814,0.90692127
