,reward rate,dec temp,subject
0,0.9169839,3.497435,0
1,0.3879115,1.1319131,1
2,0.5327741,2.150506,2
3,0.80358094,2.4311593,3
4,0.23863128,2.6830473,4
5,0.45208505,3.9357047,5
6,0.83413285,5.8420224,6
7,0.77567995,1.5575911,7
8,0.764161,3.8460522,8
9,0.44689628,3.2999253,9
10,0.7303196,2.012354,10
11,0.25864628,6.2789154,11
12,0.57539344,4.994677,12
13,0.7011483,3.673438,13
14,0.6135459,2.0451963,14
15,0.83819526,3.1410356,15
16,0.8627277,5.373328,16
17,0.3828583,2.1083589,17
18,0.53531975,2.7965856,18
19,0.3469253,2.7346435,19
20,0.38603017,2.6702406,20
21,0.6395267,5.3093095,21
22,0.7643037,5.0261016,22
23,0.83349824,4.6209474,23
24,0.79500914,4.116116,0
25,0.48297837,2.4823782,1
26,0.5867182,2.9532993,2
27,0.88404655,1.8162376,3
28,0.19294007,2.5781207,4
29,0.45033625,3.450161,5
30,0.8654811,6.2185006,6
31,0.7845211,3.0545115,7
32,0.7095893,3.8338785,8
33,0.2175157,2.960353,9
34,0.7507252,1.9703443,10
35,0.43294808,4.962614,11
36,0.59130365,5.468685,12
37,0.54945636,2.5482707,13
38,0.5382405,2.7476196,14
39,0.8412786,2.6223583,15
40,0.72966504,5.207304,16
41,0.27685562,1.831976,17
42,0.30673847,2.1935549,18
43,0.35512552,2.7846055,19
44,0.46617872,2.810845,20
45,0.6358623,4.904418,21
46,0.8191771,5.0666904,22
47,0.76253575,3.8375142,23
48,0.796983,4.0812216,0
49,0.54120487,2.6788201,1
50,0.766153,3.6937525,2
51,0.57587564,1.870471,3
52,0.2060919,2.5837631,4
53,0.48626533,4.4905148,5
54,0.8729483,4.5925016,6
55,0.57768404,2.2768095,7
56,0.64189434,2.569067,8
57,0.3847667,3.7621355,9
58,0.5347696,1.8960936,10
59,0.30615065,6.231825,11
60,0.8009876,6.1197186,12
61,0.614392,1.8781724,13
62,0.7784802,2.8290675,14
63,0.8533412,3.7102435,15
64,0.7411572,4.8053756,16
65,0.47443566,2.5590487,17
66,0.35915697,2.8351884,18
67,0.3076511,1.4604917,19
68,0.579874,2.8316453,20
69,0.68160635,5.349904,21
70,0.7143353,5.3944416,22
71,0.849299,5.786269,23
72,0.8346871,3.8117335,0
73,0.55334795,2.2596622,1
74,0.74461216,2.8239932,2
75,0.80397266,1.4790064,3
76,0.2593083,2.5030417,4
77,0.4553643,3.5495796,5
78,0.8665807,6.737001,6
79,0.86296827,1.3695825,7
80,0.52986753,3.3465195,8
81,0.25588417,2.7095919,9
82,0.48504433,2.163746,10
83,0.50035805,6.4594135,11
84,0.6245694,4.7502904,12
85,0.77135235,2.626483,13
86,0.798478,1.5152049,14
87,0.77040637,3.1996152,15
88,0.7365853,4.915653,16
89,0.3452514,2.5315855,17
90,0.36913365,2.8942528,18
91,0.32396388,2.8770628,19
92,0.55497724,3.4700747,20
93,0.605757,5.50797,21
94,0.8149273,4.0522547,22
95,0.8603187,5.218319,23
96,0.77111125,4.2302413,0
97,0.48117498,2.3753302,1
98,0.79843044,3.661109,2
99,0.77705437,1.5047048,3
100,0.3744342,1.9324493,4
101,0.28674296,4.7853775,5
102,0.9143676,4.464444,6
103,0.80357933,1.2692456,7
104,0.6262921,2.601891,8
105,0.45309246,4.3070426,9
106,0.3636135,2.0600455,10
107,0.40273812,6.592017,11
108,0.49612093,3.6908474,12
109,0.5449061,3.4162626,13
110,0.7315968,1.2888708,14
111,0.77936745,4.2760906,15
112,0.92036813,5.811096,16
113,0.489257,2.6890717,17
114,0.47033045,2.6689842,18
115,0.26435828,2.7735572,19
116,0.569306,2.2421002,20
117,0.60992694,4.2240305,21
118,0.71587485,4.859247,22
