,locs0,locs1,subject
0,-2.0657294,-0.8474562,0
1,1.0544275,0.4114974,1
2,-0.053014517,-1.5770485,2
3,-1.0014874,-1.0801632,3
4,-2.8936572,-0.25077695,4
5,1.2323831,-1.316399,5
6,-3.2933564,0.30681685,6
7,-2.0286105,-0.9019813,7
8,0.43791994,-0.6149947,8
9,0.08997884,0.09710078,9
10,1.7985381,-0.52332,10
11,-1.1577269,-0.47006977,11
12,1.0968546,-0.24364226,12
13,0.83634007,0.23890595,13
14,1.1577578,-1.6268952,14
15,0.84309936,-0.21347278,15
16,-2.133519,-0.61539406,16
17,-0.29533237,-0.07009256,17
18,-3.0354955,-0.36991537,18
19,-3.6589565,-1.2768252,19
20,1.2192233,0.015299067,20
21,-0.6458699,-0.6573192,21
22,1.3972868,0.54857844,22
23,-1.8778632,-0.5661791,23
24,-2.3220716,-0.87954,0
25,1.6773002,0.4363842,1
26,1.4887382,-1.4173014,2
27,-0.6645745,-0.55376196,3
28,-3.0062995,-0.28716213,4
29,1.000908,-2.0944288,5
30,-3.2348223,1.1252329,6
31,-2.1950207,-0.9607861,7
32,-0.37735775,-1.1011933,8
33,0.016913705,-0.20990591,9
34,2.5917532,-0.8812786,10
35,-1.2088758,-0.50141597,11
36,0.8404045,-0.09513003,12
37,1.0634682,-0.23625326,13
38,-0.0972662,-1.5830001,14
39,0.6102816,0.077213466,15
40,-2.792339,-0.3080501,16
41,-0.23596177,0.19997042,17
42,-2.8735762,-0.50505126,18
43,-3.5428658,-1.2153537,19
44,1.113559,-0.09558238,20
45,0.14079921,-0.31334627,21
46,0.82651544,0.011466563,22
47,-2.1241915,-0.4634037,23
48,-2.1065238,-0.47660097,0
49,1.4969716,0.37384772,1
50,1.7295306,-1.2177263,2
51,0.12222093,-0.92796427,3
52,-3.1058335,-0.6513722,4
53,1.8917122,-1.2777841,5
54,-3.3285582,-0.1017918,6
55,-1.6335442,-0.757454,7
56,-0.15294342,-0.7863177,8
57,-0.124301165,-0.35877252,9
58,2.8478947,-0.7001847,10
59,-0.844034,-0.30479428,11
60,0.34376684,-0.21555306,12
61,0.7182717,0.7261838,13
62,0.13697088,-1.1527119,14
63,0.97841036,-0.64167607,15
64,-1.8043475,-1.1355798,16
65,-0.18117465,-0.065102026,17
66,-2.610647,-0.3511625,18
67,-4.282612,-1.077353,19
68,1.577335,-0.042282864,20
69,0.39095584,-0.8625264,21
70,2.2615075,0.67345786,22
71,-2.4775312,-0.8778111,23
72,-2.285261,-0.7154768,0
73,1.5944464,0.44071501,1
74,1.2207928,-1.2404091,2
