,locs0,locs1,locs2,locs3,subject
0,0.80046606,1.5889509,-1.4823763,0.6728592,0
1,0.6581182,0.44772983,1.7499204,-0.018648356,1
2,0.26094997,-0.5831675,-0.5526756,1.5682614,2
3,1.6984277,-0.71511054,-0.061109245,1.7483629,3
4,0.04036659,1.4095805,0.9240565,1.3351879,4
5,0.3133215,0.7518286,-0.9744973,0.28325537,5
6,-0.99129045,0.57766426,-0.011164069,1.0003712,6
7,0.16313188,-0.5362376,-1.0662837,0.18321753,7
8,-0.07389104,-1.1114898,1.3042134,1.1487178,8
9,-0.78013873,-0.72532684,-1.1178879,0.62536526,9
10,1.3476527,-0.74627024,-0.11642307,0.013352841,10
11,1.0662386,1.024133,-0.6788807,-1.720334,11
12,0.708421,-0.5394838,1.0410644,0.42769086,12
13,0.36849454,0.03726992,0.016141683,-0.918663,13
14,0.83660245,-0.5549552,-2.1209478,0.66943896,14
15,0.27457222,0.021150136,-0.5176056,-0.2989154,15
16,-0.7706178,-1.6334187,0.07966614,0.5851972,16
17,-0.24757406,-0.63371676,-0.13232732,1.356653,17
18,-0.78438956,-1.5402923,0.76777065,1.3891038,18
19,-0.8704121,-0.927186,1.31184,-1.2785152,19
20,1.1333787,0.2537418,0.45852137,0.6837127,20
21,0.40911227,-0.86755335,0.06319547,-0.013250865,21
22,0.6579893,-0.2930218,0.7584202,-0.039469123,22
23,1.7783895,0.81952024,-1.1681284,0.46431583,23
24,-1.4438981,-0.44545722,-0.7531885,-0.11361256,0
25,0.6920269,-0.39908504,0.84337384,-0.61791205,1
26,0.29874146,0.7113489,0.4069981,-0.34196305,2
27,1.558706,-0.34084818,0.10118866,1.4379214,3
28,-0.43177754,0.6989619,-0.5177853,1.064729,4
29,-1.1249126,-0.1653776,1.1333303,-0.7681668,5
30,-0.14040527,1.1982858,-0.275748,0.21176887,6
31,0.34725288,-0.5447444,-2.0102603,-0.7935329,7
32,-0.631269,-0.76375604,1.3606615,0.4941386,8
33,0.49762142,0.111953676,-2.558994,0.77920306,9
34,0.5246816,-1.5123913,-0.56944174,-0.5678035,10
35,-0.9863403,-0.62612295,-0.97844434,-0.11590639,11
36,1.522844,-0.4357776,-0.03522885,0.79771984,12
37,-0.3098226,-2.1303241,-0.1893005,1.4514729,13
38,-0.06629884,0.08593462,-0.1694929,-0.92765856,14
39,-0.59792507,-0.6601905,0.81121886,2.8425877,15
40,0.21027264,-0.8497041,1.5386193,0.75168276,16
41,0.6203453,0.23961864,-0.57591337,1.4287994,17
42,1.3058891,-0.8338588,0.50206417,1.1149411,18
43,0.37060142,-0.5386714,1.7001168,0.22287554,19
44,1.2057283,0.29489988,1.2604291,0.90433717,20
45,0.43964612,-0.42596155,0.043761015,-1.026226,21
46,-0.76783997,-1.6125422,0.4005535,0.44989955,22
47,0.59916687,0.018323645,0.013612986,1.2473474,23
48,-0.06581929,0.4128163,-0.7644797,1.0181823,0
49,0.82193124,-0.26904878,1.8632717,1.1746522,1
50,-0.010769755,-0.0077781677,-0.529992,0.32217,2
51,-0.00047659874,-0.8875108,0.8333763,0.2834896,3
52,-0.5393045,0.5947406,0.5677386,0.85612357,4
53,0.7429808,0.77968585,-0.8276197,0.93673563,5
54,-0.13451901,0.04426366,-1.1889906,0.32284626,6
55,0.6994201,-0.76243997,-1.7182083,0.514977,7
56,0.74622834,-0.46108323,1.9377456,1.7211918,8
57,-1.0588229,-0.28625292,-1.5012314,0.76284194,9
58,0.69037604,-0.32947367,0.9707098,0.14754666,10
59,-0.20743686,-0.19989827,-0.39081028,1.7064742,11
60,0.15999347,-0.9227526,0.34754694,0.34622687,12
61,-0.7291155,-1.5532625,0.91870356,1.1860709,13
62,1.0059147,-0.48891512,-1.4741057,1.9717065,14
63,0.6989249,0.38571912,0.096655965,-0.7434408,15
64,1.735688,-0.3554851,-0.28079456,0.7319494,16
65,0.49224222,0.34591928,-1.8734181,0.41905102,17
66,0.7487009,-0.63410085,-0.4230445,-0.5929648,18
67,0.5607728,0.52530736,3.0593195,1.3037479,19
68,0.49272972,-0.8546066,-0.18765217,0.9755746,20
69,1.3698084,0.44442976,1.6673455,-0.54427767,21
70,-0.27516717,-0.9278158,1.4653949,-0.40301275,22
71,0.98957616,-0.70689523,-2.2021449,1.892461,23
72,-0.71570957,0.59667975,0.16507584,-0.22455862,0
73,0.09227109,-0.47992614,1.294455,-0.25594047,1
74,0.60919833,0.6940073,0.32703835,-0.8631074,2
75,-0.6141934,-2.1955004,-1.0067091,-0.9249157,3
76,-1.4701657,1.3867526,0.55597645,0.26275212,4
77,-0.6387668,-1.0606788,-2.7381444,1.1848067,5
78,0.69246817,1.5249588,-0.5579848,2.218632,6
79,0.5241096,0.2631477,1.6824354,1.5126125,7
80,1.0237253,-0.07408941,1.1549578,1.1718516,8
81,-1.0776556,1.600213,0.05449307,0.39133665,9
82,1.6142247,0.16866302,1.1467092,1.4845074,10
83,-0.96850646,0.56046295,-0.07998377,-1.3885558,11
84,-0.8262166,-2.1954901,-0.23709613,0.0030895025,12
85,0.30105412,-0.19621482,-0.41054836,0.9150673,13
86,-0.8872597,-1.1406736,-0.69410455,1.4443749,14
87,0.5356065,1.1998873,0.64169425,-2.3042486,15
88,-1.1244969,-1.2102656,1.489855,0.15672907,16
89,1.5640329,1.5921501,-2.0478513,0.8579065,17
90,0.36308825,-0.48360583,1.7639675,2.0006278,18
91,0.92859954,-0.39753515,1.8169404,0.690193,19
92,0.65355945,0.04994601,0.35050818,-0.24590081,20
93,1.4302964,0.10073626,1.100049,0.3756253,21
94,-0.9190791,-1.100033,1.4959695,1.9597127,22
95,1.1455162,0.88479424,1.2842553,1.2627454,23
96,-0.25217283,1.0686669,-1.0469798,0.3968949,0
97,0.4635743,-1.4194186,-0.38150936,-0.06657508,1
98,0.2602419,0.42602703,-0.19517648,-0.5339684,2
99,0.20324588,-1.2289844,0.96942735,1.4015809,3
100,0.04791391,0.22719505,-1.1486666,0.58953667,4
101,0.67675525,0.8453977,0.87082994,1.8452592,5
102,0.17593068,0.825929,-1.0206561,-1.0915309,6
103,1.263691,-0.36529073,-1.6649287,0.64843154,7
104,1.1005906,-0.57634425,1.6059315,1.9042414,8
105,-0.40949854,0.4528425,-0.13812786,0.14900157,9
106,0.8821044,-0.9507292,-0.34979767,0.25247338,10
107,-0.4586188,0.26024488,-0.02799344,-0.70581603,11
108,0.22143254,-0.55274403,1.1309768,0.27572727,12
109,1.5388442,0.07186496,-2.4166534,0.1393882,13
110,-0.2740819,0.87814164,1.3684655,-0.1695795,14
111,1.5834814,0.48409206,-0.80156356,0.23982649,15
112,0.887227,-0.16144532,1.2632735,0.86755973,16
113,0.69880784,1.4348987,0.5194106,0.47828525,17
114,1.3303951,0.20188934,1.0303669,0.15764844,18
115,0.5655784,-0.889395,2.0424824,1.7643039,19
116,0.8958398,0.41371042,1.8492078,0.32044637,20
117,0.62875414,-1.1359228,-0.6797155,-0.20560801,21
118,0.55929506,-1.213741,0.518595,2.1203725,22
119,0.65148675,-0.3807385,-3.0511396,-0.13217688,23
120,0.3968598,0.15789667,-1.4373721,1.4635841,0
121,-0.33599013,-0.4900289,1.0732214,-0.8521385,1
122,0.34792832,0.356385,-0.06289026,0.397648,2
123,1.6454208,-0.326055,0.4948396,1.55783,3
124,-0.63339144,0.29684618,-1.8151627,0.44885793,4
125,0.6860119,0.696437,-1.9762522,1.662611,5
126,-0.11045706,0.61220264,-1.3548932,0.1342695,6
127,-1.0920155,0.042519808,1.5775287,-0.24178427,7
128,-0.3576234,-1.3517265,-0.5310103,-0.026786461,8
129,-0.10179639,0.5396695,-1.8529911,1.622293,9
130,-0.72558004,-1.8554188,-0.0011498332,0.62098604,10
