,inferred habitual tendency,true habitual tendency,subject,inferred policy rate,true policy rate,inferred cached weight,true cached weight,inferred cached rate,true cached rate
0,5.9199805,3.1228914,0,0.46536842,0.17336446,3.777921,3.088387,0.7523353,0.85464185
1,2.9509187,2.6204822,1,0.69661134,0.6919065,4.541077,3.9123478,0.8088209,0.8547028
2,5.5769873,5.261535,2,0.59310085,0.64039,4.7869506,4.4626513,0.5873983,0.7263716
3,2.8710642,1.0486996,3,0.6864352,0.5007803,5.0203266,1.096499,0.73340285,0.4413553
4,6.9405246,4.3767953,4,0.34047315,0.11482197,3.1552193,3.9292698,0.7194827,0.9242114
5,5.5528607,5.943165,5,0.45023292,0.16641396,2.8992984,5.702856,0.7139193,0.8424173
6,7.0122457,4.7985134,6,0.3506656,0.009514511,3.257201,4.5279136,0.72081774,0.122241914
7,4.1207705,4.9985375,7,0.63315296,0.8208737,3.8029945,4.1064863,0.7412263,0.6993677
8,2.3228388,1.6491294,8,0.7314074,0.6582384,6.212851,4.126356,0.6929049,0.45331568
9,6.4786396,4.113416,9,0.3004236,0.01132983,3.563491,5.301884,0.72569424,0.8345743
10,2.2101252,1.090507,10,0.73458517,0.868866,6.4135175,5.294053,0.7294212,0.74450636
11,5.751518,5.0355053,11,0.6465541,0.6620727,2.6149726,1.4125637,0.80057544,0.9798072
12,2.569148,1.5813146,12,0.6731295,0.67688674,6.542907,4.8378196,0.77031386,0.79708844
13,4.4954047,4.2711945,13,0.5925485,0.7566005,2.8010817,1.3686243,0.8206017,0.7914021
14,4.817443,4.6397595,14,0.6612834,0.6857707,3.4889452,2.0481682,0.71047956,0.3349722
15,5.301506,4.920229,15,0.5898889,0.64663637,4.651344,2.8076167,0.41400182,0.15250689
16,2.5453012,1.1488036,16,0.72605246,0.6717857,5.6322145,2.3520575,0.7636374,0.49803382
17,6.2981253,5.552086,17,0.48210135,0.27478802,2.6686912,2.2642941,0.712872,0.8719943
18,3.3845618,4.4932294,18,0.66612256,0.8418534,4.3365593,4.9261494,0.87401587,0.96507996
19,2.6915429,2.5891232,19,0.73497677,0.9761004,5.2788706,3.8847136,0.82982683,0.945034
20,3.792582,5.550152,20,0.6560318,0.9214454,3.9360929,5.9720926,0.8150261,0.84938335
21,3.0443544,2.6910858,21,0.67083645,0.603267,4.8106318,1.9446687,0.69206643,0.26532918
22,2.8832037,3.0920026,22,0.7096184,0.9636705,4.690718,3.1967669,0.8584729,0.9957538
23,4.8405414,1.8711296,23,0.5908303,0.12913078,2.976249,2.0151472,0.76381606,0.8518187
