,reward rate,dec temp,cached weight,cached rate,subject
0,0.35229003,5.1830673,1.0142523,0.88486034,0
1,0.58217645,7.3239975,0.5208331,0.9019571,1
2,0.086064175,1.2837031,4.304069,0.10647358,2
3,0.513694,2.562254,3.573003,0.70291495,3
4,0.37180158,7.3746653,2.100599,0.8587715,4
5,0.3418827,2.7473278,4.0342493,0.059781767,5
6,0.77199477,2.3461566,1.4921877,0.50760126,6
7,0.051569372,4.297031,3.3433514,0.8197597,7
8,0.25766248,2.7493513,1.3307465,0.3734624,8
9,0.04351505,0.8928413,2.9363682,0.05962972,9
10,0.85501033,5.073988,5.966155,0.046185907,10
11,0.9342765,2.704353,6.5014114,0.29735178,11
12,0.34182078,4.927661,6.5244985,0.7525226,12
13,0.3900765,4.4396605,2.597401,0.62677044,13
14,0.60204107,5.032232,3.6910663,0.046414185,14
15,0.25034052,5.6961827,5.5085144,0.7169814,15
16,0.48575786,1.6211464,0.6827415,0.56238115,16
17,0.17032172,1.4116656,4.65805,0.5619083,17
18,0.021510134,5.062764,7.950787,0.19002299,18
19,0.8885163,4.4844093,0.86042947,0.6724264,19
20,0.56837463,1.8643234,5.118191,0.7437285,20
21,0.39510384,2.012428,4.9093943,0.7451305,21
22,0.5326312,4.538867,2.623496,0.1987401,22
23,0.8662515,3.615695,3.7883928,0.78910446,23
24,0.27083135,5.1763415,0.89946043,0.65782356,0
25,0.5730077,6.778205,0.65234077,0.36273172,1
26,0.32428294,0.80115855,4.033793,0.15669553,2
27,0.8783183,1.7825334,2.5488756,0.64483345,3
28,0.34870178,6.06337,1.5262909,0.5399414,4
29,0.5018096,4.2201915,3.5654223,0.060342614,5
30,0.68340635,2.254818,0.9006813,0.2861569,6
31,0.08955814,6.071048,2.95277,0.88970625,7
32,0.5822369,3.6141415,2.6043534,0.52680916,8
33,0.13238841,1.4917235,2.5819135,0.16784059,9
34,0.72266006,4.441845,7.192049,0.05966293,10
35,0.8411673,2.3215728,5.552582,0.2775091,11
36,0.37852824,4.3814716,6.5806456,0.7197907,12
37,0.39505428,4.6284575,1.4472102,0.5608412,13
38,0.7497454,6.2823715,5.5711946,0.059676062,14
39,0.34371054,6.2658033,4.7985044,0.75968987,15
40,0.8951256,2.9640105,0.96869534,0.8380746,16
41,0.19499733,1.0040252,5.7302594,0.63617283,17
42,0.01893492,5.093851,6.7637205,0.24673994,18
43,0.79149354,2.8602176,1.0081826,0.47984445,19
44,0.680513,2.6043305,3.712164,0.613971,20
45,0.76038903,2.4113028,4.208897,0.66568834,21
46,0.6284527,5.7928586,3.037608,0.14923227,22
47,0.650024,3.276026,3.2359977,0.7111355,23
48,0.20572673,4.5224915,2.1037107,0.95995563,0
49,0.53946614,5.5825324,0.72801286,0.53173435,1
50,0.2044776,0.6994429,4.349136,0.1006495,2
51,0.5505531,3.1378033,3.9913502,0.577147,3
52,0.4482573,7.321765,3.3614585,0.67740464,4
53,0.4348225,3.5908828,4.2218065,0.04751187,5
54,0.5981769,1.6048708,2.068861,0.36798215,6
55,0.07233153,4.1100426,2.8222337,0.6561791,7
56,0.36138043,2.8652582,0.65471,0.13317537,8
57,0.06659604,1.5495694,2.8191662,0.099005036,9
58,0.60966307,4.9899035,4.2544823,0.040438488,10
59,0.69616777,1.6479068,6.493526,0.29074594,11
60,0.3470115,4.527726,5.6593966,0.5301269,12
61,0.35457996,4.92183,1.8685915,0.4713573,13
62,0.7487601,5.841834,5.342924,0.06073063,14
63,0.280747,5.5943823,6.035488,0.7911398,15
