,locs0,locs1,locs2,locs3,subject
0,0.32726607,0.2121464,0.2304972,-1.3451881,0
1,-0.8754739,-0.53952944,-1.2706528,-0.65052325,1
2,-2.1496367,-1.4531002,-1.501615,-1.5844342,2
3,1.3931683,-0.6977972,-2.1980944,-0.97277874,3
4,-1.0652364,-0.50099164,-1.6751201,-1.2863095,4
5,0.10225624,-1.3521607,0.040892005,-0.19658032,5
6,0.2598984,-0.5005143,-0.45097676,-0.7427031,6
7,-1.6314881,-0.7522401,-0.49368927,0.09880662,7
8,0.25263536,-2.4383574,-1.3381433,-1.2761047,8
9,0.4981756,1.9257298,-0.24357969,0.31821683,9
10,1.7898662,-1.937453,-1.4905696,-0.096158564,10
11,0.35748112,0.6642605,-0.48991585,-0.6798405,11
12,0.71348596,0.40188637,-0.82504827,-0.50869197,12
13,1.2978451,-0.25333625,-1.0678123,0.44226056,13
14,-1.1016407,-1.1308554,-1.0642085,0.5810438,14
15,-0.44548097,-0.866645,-0.65061665,-1.625251,15
16,0.633531,1.4977425,0.18451524,-1.5008138,16
17,0.009659588,0.241174,-1.3467736,-0.95973635,17
18,0.3298046,-0.94694734,-1.0884744,-1.0579327,18
19,0.52968985,-1.4063444,-1.7107624,-1.1597227,19
20,-0.35948247,-0.28945482,-1.4992205,0.96330833,20
21,1.3737193,1.1850796,-0.3837529,-0.94229794,21
22,0.7813675,-0.29031768,-0.5664836,0.9377389,22
23,-0.31744024,0.010098666,-0.06957011,0.2715177,23
24,0.60399127,-0.3261568,0.2479396,-1.3900796,0
25,-0.9162014,-0.11264515,-1.8948399,-1.5927002,1
26,-0.955187,-0.65768266,-1.5361084,-1.3252894,2
27,0.84246486,-3.1620057,-0.5364286,-1.6092426,3
28,-0.55750275,-0.4564115,-1.6330192,-1.3587518,4
29,0.600524,0.11848289,-0.49522358,0.3333789,5
30,1.5779068,0.6366095,0.18924645,-0.7619281,6
31,-0.95827055,-1.8494135,-2.16296,-0.15283859,7
32,1.0973114,-3.0042007,-1.0797974,-1.3523057,8
33,-0.41973025,2.2380788,0.2068845,0.06653209,9
34,1.8036513,-0.18934488,-0.43261522,-0.37193292,10
35,0.9066428,-0.57956094,0.25474483,-0.2240564,11
36,1.2038586,0.46907812,-0.60238075,-0.7625045,12
37,0.654403,0.29083902,-0.82033765,-0.013829738,13
38,-0.6664017,-0.9682623,-1.7952822,-0.6659167,14
39,-0.021385528,-1.2254841,-0.5469199,-1.2849226,15
40,0.848424,0.62026834,0.114542514,-1.6288497,16
41,0.5750693,0.15103206,-1.7730362,-1.7608043,17
42,0.5182514,-1.0752892,-1.0412006,-1.259665,18
43,-0.0056869984,-2.0159264,-1.1790557,-1.5828779,19
44,-1.9923718,-1.0086415,-0.4078358,0.08747941,20
45,0.3688252,0.7740802,-0.8458841,-1.4523553,21
46,-0.6523206,0.43641523,0.9312897,-0.09730497,22
47,-0.60453415,-1.046313,-0.36995763,0.5466649,23
48,0.14604306,0.02435632,-0.3913713,-1.5250754,0
49,-0.38403922,-4.0212684,-1.0849086,-1.0490837,1
50,-0.7538861,0.24860895,-1.2502029,-1.3851112,2
51,0.9300359,-1.3136799,-1.4198974,-1.0044619,3
52,-0.513237,-0.9332567,-1.5624413,-1.4219466,4
53,0.50084275,-2.6008081,-0.6043613,-0.084145874,5
54,0.75596017,-0.23321319,-0.43037996,-0.36343643,6
55,-1.5689473,-2.450315,-0.7131926,0.6967706,7
56,1.1170694,-1.6952149,-1.5352254,-1.1544026,8
57,0.025766492,1.9217292,0.121391535,-0.6069314,9
58,1.0886225,-0.50118333,-0.69238067,-0.117920294,10
59,0.6694313,-0.45232666,-0.2713884,-0.2049767,11
60,0.6764183,1.6667422,-0.8703684,-1.0779061,12
61,-0.48625666,0.68415546,-1.0853101,-0.6276162,13
62,-0.45413032,-0.103142425,0.39988804,1.4063009,14
63,0.039422665,-0.65276194,-0.6649206,-0.7551117,15
64,1.4947727,1.595731,-0.08753991,-1.5546492,16
65,0.70928085,0.5822915,-1.6506187,-0.9643905,17
66,0.66861415,-1.1861411,-1.3256519,-0.9895545,18
67,0.8396949,-1.9179838,-2.1214414,-1.5677632,19
68,-1.3855329,-0.76058346,0.40036106,1.0499929,20
69,1.2182745,0.10025483,-0.5294906,-1.348956,21
70,-0.5233209,1.6445264,-0.00073568523,-0.3166968,22
71,-0.036426753,-0.13993779,0.5701126,0.4276087,23
72,1.5521138,-0.47033608,0.18317305,-0.6473304,0
73,-1.2316461,-4.850302,-1.0238289,-1.0841074,1
74,-1.3965907,-3.1947577,-0.7988743,-1.1064974,2
75,-0.47053775,-0.13723874,-0.92236024,-0.90101117,3
76,-0.45319945,-0.6815288,-1.9129493,-0.99229217,4
77,0.6186591,-0.5828689,-1.2585869,-0.4540225,5
78,0.77472854,0.6982872,0.8582158,-0.8605329,6
79,-0.7365724,0.8483278,-0.56722444,0.104007125,7
80,0.96231234,-2.1575005,-1.3003666,-1.496496,8
81,-0.17420405,1.9724975,0.17653805,-0.11788633,9
82,0.61781454,-1.8578613,-0.87881535,-0.7481458,10
83,1.1321886,0.03117603,-0.2595616,-0.69797945,11
84,1.233564,0.7817264,-1.4478481,-0.71121997,12
85,1.1815293,0.42645445,-1.0186812,-0.3699953,13
86,-0.35536593,-1.765139,-1.5481423,0.85552025,14
87,0.16601801,-1.8901107,-1.3824767,-1.2380507,15
88,0.45528638,1.1777765,0.99075675,-1.0184253,16
89,0.727074,0.41989,-1.5411638,-1.5331631,17
90,1.1425138,-1.6547625,-0.96933806,-1.8533888,18
91,1.2381358,-2.2058604,-2.024463,-1.3673174,19
92,-0.9742303,0.96333635,-0.18806127,0.59092647,20
93,1.3961278,0.9727529,-0.70792437,-1.392994,21
94,-0.8658919,-0.4741069,0.9986351,0.13932869,22
95,0.6654936,-1.3311152,-0.46237916,1.3610291,23
96,0.26938742,-0.16513218,-0.34062055,-2.129652,0
97,-0.4029636,-0.5348731,-2.0709815,-0.91983724,1
98,-1.3545659,-2.0768313,-1.6427804,-1.316064,2
99,0.31497568,-0.45836955,-1.8900506,-0.86237866,3
100,-1.2910259,-1.0883083,-1.0589709,-1.6909348,4
101,1.5642235,0.9091589,0.14198446,0.29170296,5
102,0.21477914,0.17397754,0.02453965,-1.1085732,6
103,-1.0327603,3.0108535,-1.2829345,-0.32692927,7
104,0.4405625,-2.365829,-1.109813,-1.9580107,8
105,0.8608537,2.3931599,0.05647701,0.43123665,9
106,0.87995774,-1.0653472,-1.039367,-0.8108467,10
107,0.658617,-0.93315387,0.0074662715,-0.7668922,11
108,0.31149322,2.1076248,-1.0369415,-1.0615245,12
109,0.8037919,0.10584742,-1.4940711,-0.5771856,13
110,-2.188425,0.78144914,0.30966556,-0.903139,14
111,-0.7637601,0.11468685,-1.234877,-1.440108,15
112,0.28910547,1.6189437,0.2824711,-1.6824498,16
113,0.9206699,-0.49240738,-1.3843013,-1.2588519,17
114,1.1017556,-0.9598649,-0.10932881,-0.7223296,18
115,0.9294274,-1.6906723,-1.3523545,-1.1690605,19
116,-0.34188884,1.0938152,-0.6666525,0.4862968,20
117,0.37516809,0.7049817,-0.2800061,-1.5746778,21
118,-1.6418774,-2.6172311,1.4083081,-0.44569495,22
119,-0.043674827,-0.49556214,-0.56843346,0.23910779,23
120,0.29753166,0.80830604,0.004753545,-0.77039254,0
121,-0.05135426,2.0323222,-2.150589,-0.84033525,1
122,-1.4314375,-0.54947215,-1.4540443,-1.9942226,2
123,0.113707095,-1.03935,-1.9956505,-1.1789604,3
124,-1.214017,-0.13552755,-0.56930697,-1.7002017,4
