,policy rate,reward rate,dec temp,habitual tendency,subject
0,0.6169492,0.55783737,2.0512307,5.909693,0
1,0.80501443,0.74732834,4.5491,1.7693739,1
2,0.046786983,0.82187486,5.385106,2.1166112,2
3,0.6082967,0.8956105,2.5264044,5.751438,3
4,0.67605793,0.7999336,1.3398762,6.1825376,4
5,0.36625117,0.83913106,1.7218143,5.915454,5
6,0.5405545,0.91713697,1.2660301,4.2007427,6
7,0.6399663,0.5891841,0.7778319,3.4523702,7
8,0.47890794,0.16905572,5.2289953,1.9812368,8
9,0.8067637,0.6571011,1.1829365,5.783621,9
10,0.4311482,0.8197735,4.073208,8.146795,10
11,0.5662904,0.77156526,3.7682881,1.7878891,11
12,0.8485098,0.8205271,4.3340774,4.126526,12
13,0.9402223,0.62375504,6.932397,5.726429,13
14,0.4400271,0.6229699,6.2792034,4.0366244,14
15,0.6909278,0.5831551,1.2667167,2.2103496,15
16,0.74952334,0.73053515,3.173843,1.6501303,16
17,0.09445419,0.60957557,4.3448343,1.3936068,17
18,0.030598762,0.8776376,2.2084384,1.2165695,18
19,0.60714203,0.8425802,1.736127,3.3243828,19
20,0.9053946,0.55933183,0.70531756,3.1235554,20
21,0.71424997,0.5098741,3.327497,1.969059,21
22,0.343086,0.8055851,2.5607748,5.6635065,22
23,0.62829524,0.27694625,2.7981007,1.989363,23
24,0.7151627,0.7766341,1.3844314,6.3902855,0
25,0.9110872,0.7202185,4.5601444,2.1632233,1
26,0.57533556,0.5698524,2.7428892,6.678719,2
27,0.6320031,0.617585,2.5339177,4.9233036,3
28,0.75546944,0.5689473,1.7727453,6.605956,4
29,0.5508601,0.5079151,3.2479954,5.70726,5
30,0.78259015,0.41797385,1.6295526,5.2148542,6
31,0.5732104,0.91398466,2.1585903,2.7662406,7
32,0.59621626,0.1783821,5.9219785,2.5844197,8
33,0.71338457,0.35818008,0.31009483,4.548956,9
34,0.12276421,0.6644192,1.4260323,4.272655,10
35,0.78818285,0.9648711,4.585081,2.4015417,11
36,0.8474331,0.81687486,3.5723994,4.275201,12
37,0.85358566,0.5230037,8.409142,5.3487997,13
38,0.47546285,0.52051353,1.7505628,3.5218194,14
39,0.5962366,0.73089653,1.5979006,2.5919926,15
40,0.920767,0.79413533,2.0842493,2.181417,16
41,0.07275159,0.45983833,1.8474047,1.2505746,17
42,0.011166231,0.74534076,1.0991678,1.476742,18
43,0.3886146,0.122586645,0.8371485,2.6961684,19
44,0.74495083,0.97269917,2.7250767,4.0835805,20
45,0.89785624,0.48870695,4.1531134,1.6820835,21
