,locs0,locs1,locs2,locs3,subject
0,-0.53778076,-1.2116109,-1.4728147,2.2867234,0
1,1.7049088,-0.84560484,-0.5406791,0.64210314,1
2,2.053743,-1.5891805,0.16961977,2.213888,2
3,0.6150925,-0.74066067,0.31334984,1.0253878,3
4,-1.1502739,-1.1630163,0.16922073,0.87710667,4
5,1.0988309,-0.941424,0.10204918,-0.4525519,5
6,0.89764285,0.0442245,0.4369441,-3.1873288,6
7,-0.9692828,-1.049764,-2.2936325,-1.339248,7
8,-0.98911035,-0.96634287,-0.18806377,1.4013834,8
9,-2.4578612,-0.85658437,0.7479938,0.44140702,9
10,2.6680388,-0.92672855,-2.540192,-0.24846458,10
11,1.5378377,-0.48140538,-1.8025649,0.1700061,11
12,1.5987301,-1.3627136,-1.5867783,-2.356652,12
13,-1.0519439,-1.0745751,-1.900538,0.5669335,13
14,0.81099004,-0.46671513,-1.3005859,1.9951315,14
15,0.5843462,-0.37455153,-0.7152183,-0.5079649,15
16,1.3106735,-0.28920987,0.026456922,-0.265352,16
17,0.50379574,-0.60276437,-1.8816195,2.0105648,17
18,-1.8672154,-0.31746057,-0.9321722,-0.9394314,18
19,-0.39242756,-0.81889534,-1.2916083,0.6438745,19
20,-2.1842504,-0.39044613,0.23131904,1.4335213,20
21,-1.9256753,-1.0949149,-1.1469164,0.97422314,21
22,-2.5928302,-0.48092645,-1.7977688,-0.57401574,22
23,-0.7682932,-1.3751571,-1.4422988,1.3473406,23
24,1.8142425,-0.9853169,-1.9836936,-0.6682217,0
25,1.5010645,-0.34863192,-1.1406476,0.095615774,1
26,1.5440661,-1.2910721,0.3962591,0.7088156,2
27,1.1486404,-0.18916124,0.13774276,0.8577249,3
28,-1.7399749,0.027478784,0.12183881,0.47035402,4
29,0.70175415,-0.6874922,0.06599505,1.2194102,5
30,0.605269,-0.29035747,-0.13517234,-3.4956064,6
31,-0.24101141,-1.2661054,-1.3572564,-0.69585454,7
32,-0.71959615,-0.95537126,-0.8371257,0.84181094,8
33,-3.1939008,-1.2188611,0.76577,0.25661892,9
34,-0.31835663,-1.5577368,-2.4132128,-0.46276128,10
35,2.9281907,-0.11669886,-1.7398032,-1.231668,11
36,1.9675097,-1.2462586,-1.9966474,1.38134,12
37,-1.6851053,-1.4688208,-1.1066761,0.3169179,13
38,1.0007778,-0.76225567,-0.8851951,0.5854179,14
39,0.8510704,-0.68476766,-0.23813051,-0.30008298,15
40,0.5967695,0.14002271,-0.33356315,-1.0494046,16
41,-0.12648395,-0.7377219,-1.3403893,0.14335439,17
42,-1.291838,-0.1696086,-0.7993152,-0.77744955,18
43,-0.26446372,-0.6863614,-1.3254392,1.4363352,19
44,-1.975828,-0.9649493,0.29734313,0.6210517,20
45,-1.5052682,-1.5170416,-0.8737218,2.8357596,21
46,-2.7282693,-0.15459782,-1.8443515,0.6949978,22
47,0.22407341,-0.9502442,-1.0964125,0.8297602,23
48,-0.19119322,-1.2828261,-0.9293751,0.780324,0
49,0.5643065,-0.4457361,-0.36669922,0.14539939,1
50,1.8543676,-1.0173614,0.6256286,2.007837,2
51,2.2521462,0.09007943,-0.28616485,0.85440075,3
52,-0.90242255,0.7046844,0.37547767,0.4733228,4
53,0.07385808,-0.67125267,0.28722793,0.5505957,5
54,0.9551257,-0.51801085,0.2794876,-2.924527,6
55,-0.98609483,-1.2208933,-1.2267001,0.0563446,7
56,-0.6744412,-0.7989702,-0.37497962,1.609216,8
57,-1.834243,-0.8391001,-0.14073002,0.6730261,9
58,1.7188865,-1.1517015,-2.085097,0.2806784,10
59,2.9511473,-0.8404495,-1.3709056,1.6568811,11
60,1.2596668,-1.1492343,-1.8548313,1.5334649,12
61,-1.3219426,-1.0874281,-2.1342437,-0.024291992,13
62,1.7215629,-1.1259651,-0.99137294,0.17523307,14
63,0.83777666,0.56140035,-0.522802,0.53088254,15
64,0.44984174,-0.27489394,-0.38420933,-0.23234689,16
65,0.40517482,-1.1069725,-1.4674106,-0.7114179,17
66,-1.2394955,-0.5488887,-0.76703405,-0.8060864,18
67,0.18075246,-0.75916296,-1.7002354,1.24509,19
68,-1.7350881,-0.9631064,-0.06073165,0.6272904,20
69,-2.2446256,-0.769841,-1.4930842,2.2830713,21
70,-2.4515696,0.07366416,-1.6795377,-1.5692204,22
71,-0.5707116,-1.8337812,-1.231051,0.3412787,23
72,-0.37601247,-0.8642374,-1.2745655,0.7905233,0
73,1.6088208,-0.537856,-0.35046327,0.24238873,1
74,0.10357773,-1.4043598,0.1614458,1.8119676,2
75,0.84075403,-0.9842456,0.39579928,1.5567296,3
76,-1.6545591,-0.3458417,0.28835315,-0.033008248,4
77,0.6738028,-0.57396704,0.09606846,0.5342038,5
78,0.020570159,-0.99998796,0.0641295,-3.2363338,6
79,-0.4252535,-0.7546431,-0.9823402,0.06406608,7
80,-0.8426484,-0.38778657,-0.78836316,1.9884913,8
81,-2.993286,-0.72594416,0.33354786,0.5386343,9
82,2.9483514,-1.3113142,-1.9113259,0.623165,10
83,2.6332495,-0.26583195,-1.8010108,0.29447547,11
84,0.5169036,0.13704157,-1.5096875,2.6064348,12
85,-1.0889827,-1.2528325,-1.7352453,-1.5038697,13
86,1.012253,-0.89620334,-1.4465325,0.603205,14
87,1.342844,-0.22181635,-0.3008658,-0.32534748,15
88,0.8499543,-0.6055234,-0.13656634,-0.13230228,16
89,0.5800335,-0.6485462,-1.7932135,0.32771003,17
90,-1.6286237,0.10269025,-1.0489166,-0.60041404,18
91,-0.416229,-0.63799685,-1.8733544,0.9578825,19
92,-2.0152302,-1.0882539,0.6157944,0.28210127,20
93,-1.673393,-1.4526167,-1.2115797,3.0446138,21
94,-2.2237225,-0.14714253,-1.3284107,0.051724844,22
95,-0.3020267,-1.3834589,-1.3614713,1.2526796,23
96,-0.07726067,-1.090693,-1.3125657,-0.2786182,0
97,0.45206526,-0.975136,-0.2845024,0.5820621,1
98,1.7965463,-1.858217,1.0551902,3.668342,2
99,0.7776342,-0.37422398,0.65970004,2.3464813,3
100,-1.6969409,-0.4757372,0.23682389,0.53832656,4
101,0.3003022,-1.203619,0.50009096,0.9306515,5
102,0.91987395,-0.31498715,0.17200588,-3.2642,6
103,-0.53754604,-0.5805557,-1.6300358,-1.0085225,7
104,-0.7626403,0.06455135,-0.24873114,1.5305057,8
105,-1.8304561,-0.7423755,0.64063066,0.42956564,9
106,0.87398016,-1.8721988,-2.3665419,1.2312424,10
107,2.5127668,-0.9056404,-2.1078646,2.449164,11
108,0.6006625,-1.290942,-1.0848215,2.6956604,12
109,-1.9073911,-1.2998807,-1.5514498,0.22426683,13
110,1.2829363,-0.8260819,-0.93946,-0.0690614,14
111,1.1970397,-0.27384782,-0.19194597,0.25342867,15
112,0.62442684,-0.56794435,-0.362717,-0.7770708,16
113,-0.27533308,-0.11490202,-1.4946927,0.6343531,17
114,-0.9168755,-0.2864744,-0.5498214,-0.89885145,18
115,-0.65592706,-0.4339456,-1.5530003,1.1569552,19
116,-1.107343,-0.9678146,-0.106574595,0.5428749,20
117,-1.6348089,-1.3591549,-1.168788,1.1102976,21
118,-2.6891944,-0.3870541,-2.1562142,-1.0283728,22
119,-0.52881426,-1.7574224,-1.3769323,0.03913355,23
120,-1.0475063,-1.4543117,-1.8361511,1.1382548,0
121,0.9821965,-0.36313707,-0.5522472,0.3897799,1
122,-0.061612606,-1.3329303,-0.050531626,0.5342847,2
123,2.3169594,-0.32067037,0.46442938,0.9013579,3
124,-1.3723531,-0.75154084,0.6088186,0.18341057,4
125,0.40997642,-1.2843467,0.4076376,0.68681026,5
126,0.72350204,-0.5125335,0.3865472,-3.0150304,6
127,-0.5808931,-0.6998872,-1.8079863,-0.092657655,7
128,-0.81477106,-1.0129566,0.22212017,1.1272757,8
129,-1.7686987,-0.47334918,0.5032568,0.42402214,9
130,1.5962417,-1.0052509,-2.2737973,-1.5106571,10
131,2.200017,-0.8348377,-2.3113241,1.4034512,11
132,2.2506933,-0.692855,-1.6499703,-2.3446286,12
133,-1.3620932,-0.95577466,-1.5743539,0.37728882,13
134,2.764307,-0.50361395,-0.98613006,0.47044677,14
135,0.52747864,-0.02576445,-0.4022857,-0.116696574,15
136,1.6771724,-0.06635535,-0.3157698,-0.46652552,16
137,0.0024982393,-0.80562794,-1.975271,-0.82283115,17
138,-1.4485934,-0.80817974,-0.7167092,-1.0776652,18
139,-0.8623979,-0.822002,-1.3575485,1.1706843,19
140,-2.1554198,-1.0651548,0.706644,0.04840845,20
141,-1.6952866,-1.7436465,-0.95822304,2.60636,21
142,-2.409843,-0.47817287,-2.0017734,0.0077328235,22
143,0.44024566,-1.4200943,-2.154901,0.054100186,23
144,1.0987408,-0.9858388,-2.0566468,-0.6971297,0
145,-0.40113974,-1.1463015,-0.3840719,0.83446074,1
146,2.2471719,-1.8142087,0.8279884,2.5987957,2
147,1.3822056,-0.5091451,0.3279584,1.1796217,3
148,-1.6255252,-0.73035216,0.20566988,-0.15902677,4
149,0.73477894,-0.9422448,-0.039981917,0.38423762,5
150,-0.1779173,-0.7294959,0.26850685,-3.1931744,6
151,-0.63353425,-1.136905,-1.2998251,-1.2247789,7
152,-0.28499544,-0.47837758,-0.36310193,2.1500657,8
153,-2.4014196,-1.0519695,1.0992458,0.14450896,9
154,0.84365976,-0.73364604,-2.4000158,1.0276371,10
155,1.4194465,-0.8899236,-1.6059957,0.61490536,11
156,1.2937639,-1.4304636,-1.184412,1.3615417,12
157,-1.3315189,-0.58648,-2.389153,-1.2229152,13
158,1.0600989,-1.0151986,-0.7854034,0.83411276,14
159,1.1817199,0.08798553,-0.46656066,0.0829287,15
160,0.38722467,-0.11288231,-0.13030075,-0.8222678,16
161,1.1931922,0.12471068,-1.5492125,-0.90665674,17
162,-0.8667661,0.04135737,-0.66177535,-1.1409912,18
163,-0.2796953,-0.9344425,-1.348643,0.4367153,19
164,-1.5724142,-1.3700746,0.8109714,0.09258023,20
165,-2.4694517,-1.4456844,-0.9997298,2.0478373,21
166,-2.3436034,-0.14495733,-1.7186717,-0.23283437,22
167,0.86624503,-1.7114961,-1.2755262,-0.85663736,23
168,-1.3930384,-1.938371,-1.1182837,0.8242755,0
169,1.8033577,-0.16119212,-0.7550316,0.32542998,1
170,1.1492611,-1.2587125,0.110960364,1.6451056,2
171,0.69507086,-0.43017215,0.77087444,0.93581295,3
172,-1.2802938,-0.23567665,0.17823903,0.5340195,4
173,1.4467617,-0.95163625,-0.072821364,0.58628505,5
174,0.8773574,-1.091304,0.18009281,-3.3860755,6
175,-0.6841708,-0.98453426,-1.875284,0.013658211,7
176,-0.691357,-1.264198,-0.18146771,1.2998277,8
177,-2.3573556,-1.1049633,0.5836007,0.16626394,9
178,-0.1360296,-1.833875,-1.5799367,0.31774843,10
179,2.2270975,-0.5733527,-2.0429888,1.5558534,11
180,0.81518984,-1.3035266,-1.4045978,0.8311404,12
181,-1.3527646,-1.1541364,-1.5125084,-0.47024077,13
182,0.4718964,-0.80964744,-0.83191985,1.5247328,14
183,0.7365807,0.29455882,-0.7569679,0.2607301,15
184,1.5558617,-0.50272983,-0.1803421,-0.8497167,16
185,0.27216995,-0.4638866,-2.101796,0.04707524,17
186,-1.3124849,-0.31470454,-0.8998051,-0.9214706,18
187,0.18789274,-0.58590716,-1.8218082,1.395788,19
188,-2.3085413,-1.3673067,0.286486,0.4565714,20
189,-2.1103733,-1.5608702,-1.0653342,0.582764,21
190,-2.5282092,-0.29907343,-2.1868875,0.20496228,22
191,0.45677307,-1.1252145,-1.2490826,0.91676944,23
192,-0.15769292,-1.378682,-1.8000648,-0.7283875,0
193,1.3032993,-1.2796841,-0.61366117,0.18152755,1
194,0.9184623,-2.0473049,0.648,2.7570243,2
195,0.46968666,-1.2246304,1.3715296,1.2120407,3
196,-1.0340431,-0.54326415,0.1540232,0.42477167,4
197,0.22382385,-1.3880236,0.63622093,0.898548,5
198,-1.4826305,-0.80088854,0.24153465,-3.3488433,6
199,-0.59760135,-0.7217876,-1.917728,0.31878287,7
200,-1.1150208,-1.0854838,-0.088083535,0.94646263,8
201,-2.9434571,-0.67425394,0.3853081,0.6370944,9
202,1.4105315,-1.8805474,-1.7761688,1.3580382,10
203,1.4629194,-1.1436495,-1.6854608,0.98128283,11
204,1.4961132,-1.3142434,-2.11712,1.1558701,12
205,-1.4238087,-1.095106,-1.4213613,-0.14678097,13
206,1.2504143,-0.36946523,-1.057004,1.1117847,14
207,0.49761847,-0.29777524,-0.31505895,-0.12692264,15
208,1.4827561,-0.6399501,-0.33485183,-1.1880277,16
209,0.09472726,-0.60652125,-1.7591225,0.38640317,17
210,-0.7204664,0.14889783,-0.8368964,-1.1881506,18
211,-1.1525644,-1.2337705,-1.3007668,1.4725832,19
212,-2.0665078,-1.3188553,0.30139464,0.037371427,20
213,-2.1214132,-1.8017285,-0.9530085,1.7622751,21
214,-2.5011978,-0.27616397,-1.4832683,0.88067204,22
215,-0.116076306,-1.9375494,-1.6747816,0.7717354,23
216,-1.1816204,-1.4415876,-1.0999733,2.0534174,0
217,0.66573775,-0.6567097,-0.44930476,0.35082868,1
218,1.5708594,-1.2869096,0.500547,2.1926043,2
219,0.7728574,-0.7060026,0.19813222,1.4610384,3
220,-0.90713507,-0.36708575,-0.20457175,0.50064224,4
221,1.3975813,-1.1588848,0.45308274,0.4168392,5
222,1.5706768,-0.7244855,0.49036652,-3.0837874,6
223,-0.25749427,-0.92390347,-1.3600925,0.42393997,7
224,-0.7979587,-0.76142985,-0.5134124,1.2419754,8
225,-3.533507,-1.3798084,1.0889745,0.4624145,9
226,0.49880552,-1.5548915,-2.5367594,0.44436267,10
227,-0.031796455,-1.1995294,-1.713957,0.6843244,11
228,2.1431274,-1.1651677,-1.6109607,0.7447694,12
229,-1.3126051,-1.2955308,-2.3318632,-2.2923346,13
230,0.3118927,-0.6329516,-1.0899379,1.8312886,14
231,1.0580157,0.5758641,-0.8086442,-0.16578391,15
232,0.9241823,-0.47944403,-0.46477515,-0.8552038,16
233,0.58154833,-0.6814858,-1.280256,0.8152491,17
234,-1.4952163,-0.7100158,-0.8677256,-1.3874073,18
235,-0.9916559,-0.89202833,-1.3975095,0.3676957,19
236,-1.1470509,-1.0118144,-0.3835606,0.28003353,20
237,-1.6764445,-2.041067,-0.3744505,2.3394742,21
238,-2.618237,-0.0858966,-1.9399216,0.42509332,22
239,-1.5872589,-0.75035155,-1.2820677,0.49185643,23
240,0.081921905,-1.4267017,-1.0730131,0.53805923,0
241,2.5858302,-0.8326812,-0.82828087,0.5663042,1
242,2.51059,-1.2657064,0.2252171,1.668573,2
243,0.7670283,-0.58296174,0.47684607,1.7894783,3
244,-1.8278711,-0.6646823,0.39607334,0.5200037,4
245,0.9912913,-0.9010476,-0.13800092,0.035228074,5
246,-0.11047757,-0.6347226,0.13059515,-3.1269507,6
247,-0.41739005,-1.2006044,-1.3742185,0.571846,7
248,-0.9659115,-0.78674126,-0.5924527,1.2559655,8
249,-2.8239975,-1.3077929,0.39724797,0.57070315,9
250,1.4650773,-1.5259331,-2.003176,-1.0680153,10
251,2.2365363,-0.26188195,-2.2171807,0.034493506,11
252,1.2516313,-0.55592644,-1.898016,2.599949,12
253,-1.4847133,-1.0632027,-1.7609929,-0.07942164,13
254,2.0921443,-0.8491727,-1.2050104,0.9759236,14
255,1.1944612,-0.6191746,-0.6668041,-0.24955481,15
256,1.1700126,-0.02102004,-0.7709218,-0.7217146,16
257,0.3566406,-0.7645686,-2.0329456,-0.16586003,17
258,-1.3040003,-0.6773759,-0.47629488,-1.1721189,18
259,-0.9504621,-0.6032993,-1.2153325,0.5007114,19
260,-2.1961405,-1.3841285,0.18718213,0.11625829,20
261,-1.6711627,-1.2540213,-0.8747599,0.763417,21
262,-2.6258693,-0.42772865,-1.465575,-0.89473903,22
263,0.46720722,-1.2801406,-1.4685222,0.85405505,23
264,-1.9039751,-1.3071368,-1.6616704,0.3380789,0
265,0.99736536,0.18634772,-0.4833511,0.14891458,1
266,1.2283206,-1.1190498,0.72575164,3.23937,2
267,0.08190787,-0.5563406,0.5033505,2.3660934,3
268,-1.6540676,-0.37570116,0.18024383,0.88079786,4
269,-0.24532437,-1.7321947,0.32940328,0.83622545,5
270,0.90141195,-0.16764605,0.38496092,-3.1728978,6
271,-0.62360364,-1.1215947,-1.4407824,-0.5931016,7
272,-0.94079536,-0.80906236,-0.49290222,1.5580728,8
273,-3.0323167,-1.3033354,0.64920026,0.4300205,9
274,2.6126974,-1.2016025,-2.6496527,0.7166105,10
275,1.0215248,-0.63186955,-2.2616928,1.4832563,11
276,0.4404797,-0.54597276,-1.3381281,0.49332672,12
277,-0.88996565,-0.4587928,-2.342318,-1.1411287,13
278,0.7600321,-1.4709275,-0.78189945,0.74395114,14
279,0.92640936,-0.7067856,-0.28212896,0.4114464,15
280,0.6244445,0.14725326,-0.9007715,-0.58261406,16
281,0.34395635,-0.9716567,-1.5369015,0.28922704,17
282,-0.86410296,-0.031603456,-0.7784565,-1.2454131,18
283,0.32265645,-0.8420664,-1.722168,-0.49248302,19
284,-2.4465704,-1.1164147,0.49106744,0.41258752,20
285,-1.9037564,-1.6792943,-0.43600893,2.3750188,21
286,-3.3079646,-1.1206518,-1.3287818,-1.969396,22
287,-0.96320057,-1.8329668,-1.7197804,0.22085208,23
288,-1.3890814,-1.4016116,-1.9187618,0.24724092,0
289,0.7615611,-0.49952418,-0.38419327,0.9784763,1
290,1.7710364,-1.2595628,0.5385381,2.1887581,2
291,0.81851184,-0.38810587,0.5437753,1.4537835,3
292,-1.561841,-0.62343657,0.10869399,0.16432884,4
293,-0.5425473,-1.2313213,0.0860239,-0.13540387,5
294,-0.03761983,-0.99563813,0.12557706,-3.3312757,6
295,-0.49802768,-0.58431053,-1.2800454,-1.5981553,7
296,-1.2706637,-0.5945474,-0.31062627,1.8991492,8
297,-1.9529114,-0.27236485,0.46536157,0.9123547,9
298,0.5264205,-1.2136248,-2.0020254,0.64136815,10
299,2.0750272,-0.8356391,-1.6570231,-0.08479971,11
300,1.8211887,-0.97276664,-1.7133833,1.1536366,12
301,-0.70219517,-1.1421149,-2.0415704,-1.3419911,13
302,0.5291849,-0.6715918,-1.5610228,0.9974555,14
303,1.7795811,0.53220123,-1.2472199,-0.053875275,15
304,1.4197006,-0.22077908,-0.55256784,-1.1195166,16
305,0.8657973,-0.13827443,-1.9761899,-0.25539234,17
306,-0.5191432,-0.030373454,-1.1975745,-1.2807307,18
307,-0.5848574,-0.8586502,-1.5026131,0.58536613,19
308,-2.1107717,-1.5726435,0.18483698,0.53146756,20
309,-1.202494,-1.3506113,-0.81399095,1.5927842,21
310,-2.5757372,0.07712734,-2.2097669,-0.22106615,22
311,0.67484415,-0.96568096,-1.9422159,0.24050277,23
312,-0.36041608,-1.5639122,-1.2913406,1.8750488,0
313,1.1003184,-1.1201072,-1.1844298,0.6058548,1
314,0.22161663,-1.0714805,0.04502815,2.0354142,2
315,0.24862319,-0.80100656,0.64025253,2.4117446,3
316,-0.880555,-0.36848122,-0.3708879,0.35643762,4
317,0.9821392,-1.1570135,0.117377244,0.9965055,5
318,1.2564181,-0.048300803,0.2840333,-3.3121557,6
319,-0.56341755,-1.0402076,-1.9744668,-0.005941272,7
320,-0.68882245,-0.42591873,-0.6420765,1.7130207,8
321,-3.5045884,-0.6845367,0.8295489,0.7457616,9
322,-1.135773,-2.4758253,-1.5159227,1.4654894,10
323,2.0180595,-1.0989089,-1.6387813,0.37918374,11
324,2.1892908,-1.1778924,-1.0097524,0.076144576,12
325,-0.75197595,-0.93883663,-2.0553737,-0.31369838,13
326,0.9550996,-1.2258961,-1.3456085,0.87670696,14
327,0.19715697,-0.11211461,-0.31188095,0.28246707,15
328,0.037938893,-0.27788034,-0.42649472,-0.71108764,16
329,0.3912523,-0.26224965,-1.9460902,0.7102096,17
330,-0.89140475,0.0115197,-0.71319675,-1.3700609,18
331,-0.009519875,-0.6375407,-1.7516224,0.672081,19
332,-2.3279264,-1.1422395,0.81907,0.59586406,20
333,-1.2834108,-1.2433244,-1.0159018,1.7277602,21
334,-2.7486548,-0.578243,-1.2480019,-0.006768167,22
335,-0.36049718,-1.3950672,-1.3980366,0.5136057,23
336,-0.08750503,-1.532771,-1.1370951,1.2477062,0
337,0.6180944,-0.18032491,-0.7256658,0.3310824,1
338,0.64698637,-1.900615,0.15620977,1.5434583,2
339,1.6801903,-0.1965656,0.7706832,1.3927141,3
340,-1.5695966,-0.26355758,0.34251395,0.2237898,4
341,0.5953891,-0.21658117,0.40405452,-0.1591528,5
342,-0.37941253,-1.1961178,-0.10243711,-3.134421,6
343,-0.7034456,-1.0183117,-1.6141655,-0.49519905,7
344,-0.9651147,-0.8265764,0.11014828,1.7056432,8
345,-1.6855134,-0.9288621,0.0319618,0.551626,9
346,2.3282926,-1.8842713,-1.2256417,-0.63559884,10
347,1.5505381,-0.80715716,-1.8575535,2.2289317,11
348,-1.2937222,-1.5809894,-1.5934741,0.799869,12
349,-1.3031068,-0.68127036,-1.1513319,-0.9515879,13
350,0.8111192,-0.82978404,-1.3045609,1.0322983,14
351,0.548885,-0.4899258,-0.5083536,0.16081738,15
352,1.2307764,-0.27419928,-0.19413231,-0.23371688,16
353,0.36537153,-0.042144,-1.9063995,1.7087756,17
354,-1.6055319,-0.62409604,-0.35074887,-0.7180244,18
355,0.53608745,-0.4424292,-2.415444,0.22563052,19
356,-1.6733327,-1.3904036,-0.06693366,0.43489146,20
357,-2.2559083,-2.1408513,-0.85824174,0.83563495,21
358,-1.8592668,0.0109883845,-1.9443035,2.0431952,22
359,-0.4062935,-1.8995092,-1.8437152,-0.22364083,23
360,0.0626913,-0.99311495,-1.765164,-0.22865924,0
361,0.82595015,-0.28465438,-0.48511076,0.5563414,1
362,0.47901928,-0.9861918,0.85700476,2.1666443,2
363,0.662429,-0.7763984,-0.05097893,1.1668391,3
364,-0.86506045,-0.14916193,0.21018204,-0.0046823323,4
365,1.1215217,-0.8739276,0.103973076,0.1326415,5
366,0.28887424,-0.99824667,0.16860199,-3.4502432,6
367,-0.48383972,-0.576347,-2.1070287,-0.4951708,7
368,-0.32198957,-1.0323076,-0.3127967,1.4856784,8
369,-1.6992593,-0.6479335,0.2321397,0.6019117,9
370,0.038585782,-1.4946125,-2.3775244,-0.48669535,10
371,1.2919811,-0.6501764,-1.9448189,1.0877573,11
372,3.3563461,-0.13362247,-2.2481625,-1.591835,12
373,-0.95795345,-1.0322497,-1.7216612,-1.2088108,13
374,1.238415,-0.92395043,-1.4332726,1.1710398,14
375,1.2470841,-0.6884814,-0.6724625,-0.068606295,15
376,1.9929259,-0.034975402,-0.37455,-1.2002548,16
377,0.28152493,-0.6601302,-1.5690123,1.607717,17
378,-1.227349,-0.13192597,-0.56735885,-0.86937535,18
379,-0.57684237,-0.4117729,-2.1613626,1.0623362,19
380,-2.8153336,-1.5060604,0.3231352,0.85816914,20
381,-2.273189,-1.316375,-0.9742325,1.4585092,21
382,-2.6190405,-0.3026967,-1.3006997,0.16043642,22
383,0.40280065,-1.3709831,-1.1075976,-0.17287269,23
384,-1.3045121,-1.3563647,-1.6534908,1.1937691,0
385,1.0222595,-0.95327103,-0.16037622,0.66194797,1
386,0.45510393,-1.561979,0.9143524,2.0266092,2
387,1.6058707,-0.45017314,0.51497126,1.2721019,3
388,-1.6147029,-0.6900567,0.7504962,0.5372612,4
389,0.5523053,-1.1060697,-0.08901401,-0.36717772,5
390,0.015715957,-1.2482388,0.31461766,-3.4519866,6
391,-1.2617025,-0.66616726,-1.739641,0.92927265,7
392,-0.76645964,-0.7424939,-0.35119855,1.3643979,8
393,-2.3928573,-0.76184833,0.72817546,0.7926168,9
394,2.1055992,-1.1499604,-2.4527469,1.375194,10
395,2.2190232,-0.63472337,-2.0653555,2.1128256,11
396,1.5976931,-0.79994327,-1.5699686,1.4698992,12
397,-0.20645672,-0.3605591,-2.1801362,-0.92138094,13
398,0.55736756,-1.2999482,-0.77611756,1.6190393,14
399,2.0560937,-0.44661313,-0.40648523,0.15468466,15
400,1.4409037,0.2647791,-0.15471485,-0.74911743,16
401,-0.28317907,-0.47317863,-1.5168958,0.9856702,17
402,-0.98428,-0.44821227,-0.6279409,-1.484829,18
403,-0.4558002,-0.69038177,-0.91668785,0.7270125,19
404,-2.795439,-1.2418498,0.57984585,-0.02304992,20
405,-1.9997336,-1.5241172,-1.0293503,2.4766781,21
406,-2.9023914,-0.367642,-1.8953905,0.417864,22
407,-0.1611898,-1.3793449,-1.2029177,0.5876083,23
408,-0.050067693,-1.2521639,-1.3698647,1.2583876,0
409,1.4881059,-1.3819853,-0.5061655,0.18112904,1
410,0.9426373,-1.4052885,0.6229598,1.3925714,2
411,1.0341619,-0.5342056,0.668128,1.5558602,3
412,-1.2071948,-0.5980241,0.5057013,0.22606775,4
413,1.1546332,-0.83427966,0.07716101,0.33467984,5
414,0.3906465,-0.973567,0.54897594,-2.8855338,6
415,-0.78634584,-0.83558404,-1.533323,-0.3320493,7
416,-0.520313,-0.89678204,-0.6133486,0.662449,8
417,-3.2928658,-1.0839789,0.706779,0.72966635,9
418,1.0799474,-0.96773916,-1.853693,1.0216004,10
419,2.3230433,-0.53247607,-1.697422,2.4510648,11
420,0.19592488,-1.2914469,-1.666808,0.8299706,12
421,-0.95604897,-0.6797546,-1.4638126,-0.6805939,13
422,0.7787163,-1.1245648,-1.1871164,1.4721627,14
423,0.7210745,-0.16867766,-0.6307561,-0.16365767,15
424,1.1639537,-0.2446412,-0.35650846,-1.1888475,16
425,0.5296084,-0.9954209,-1.3624344,-1.0749165,17
426,-1.5548127,-0.65183693,-0.26977748,-0.6300466,18
427,-1.0328234,-0.75355625,-1.0777113,1.5790615,19
428,-1.9922398,-1.3058242,0.8597565,0.43555254,20
429,-1.6308348,-1.233158,-1.4506881,1.5304424,21
430,-2.6420767,-0.5192493,-2.1574926,0.5957529,22
431,0.7487323,-1.8131783,-0.99422705,-0.27054146,23
432,-0.94075227,-1.3612477,-1.1848171,2.0980086,0
433,1.1255383,-0.29272574,-0.8158201,0.3865667,1
