,inferred dec temp,true dec temp,subject,inferred reward rate,true reward rate,inferred cached weight,true cached weight,inferred cached rate,true cached rate
0,3.8160374,5.303096,0,0.11904134,0.10730839,5.705447,5.4163857,0.48311284,0.5142587
1,1.183262,1.2301099,1,0.6930161,0.7604984,5.1840105,5.7031746,0.9193615,0.94515866
2,2.5039096,2.562296,2,0.34038234,0.36721838,3.8510892,3.138473,0.3089978,0.24237847
3,2.636457,1.3136617,3,0.5305946,0.487853,3.4491642,3.379545,0.56984425,0.6059137
4,3.380639,4.4265404,4,0.53753495,0.49573934,6.0659704,5.4454455,0.20833533,0.16331315
5,2.8018017,3.2156143,5,0.5615316,0.949796,2.8964493,3.0773568,0.773528,0.79603505
6,2.148088,1.5574868,6,0.63493186,0.998837,4.2110233,4.827222,0.8668538,0.85548615
7,1.2480587,1.2855406,7,0.60262793,0.8010415,2.0187309,1.5207855,0.029763138,0.019373238
8,1.989922,1.4387015,8,0.6103525,0.54585993,2.401645,1.9379619,0.7626281,0.89373225
9,1.7558643,2.432663,9,0.4845316,0.23072863,4.540452,4.9828773,0.5575678,0.7779057
10,1.1965461,1.0404102,10,0.64953846,0.89621764,3.9274583,3.894832,0.51617706,0.5991924
11,2.829033,2.4811041,11,0.59472656,0.78315634,2.7502298,2.4447882,0.6430487,0.38205463
12,2.5230918,2.9671443,12,0.76466954,0.746849,2.2558787,2.0996888,0.045142658,0.028595448
13,3.263643,4.090069,13,0.3091228,0.39880425,4.4284816,4.5034165,0.42150885,0.33799285
14,3.3945036,4.2153606,14,0.8470865,0.7660413,2.6183038,3.274065,0.7794588,0.86124665
15,4.2172194,3.975387,15,0.035243515,0.0336715,2.46948,3.154035,0.6414078,0.9997767
16,1.3163773,1.3811902,16,0.17220677,0.026290417,5.2887664,5.7234015,0.17767869,0.17059183
17,3.052944,3.253779,17,0.3764144,0.3308345,5.165547,4.092847,0.82844067,0.8368084
18,4.750013,5.5226264,18,0.46474275,0.4862587,2.152614,1.3036064,0.624419,0.23061556
19,3.5686421,4.1382165,19,0.4407201,0.38788176,2.1229224,2.4238958,0.07333824,0.028625846
20,2.3944287,3.2949922,20,0.06644546,0.07288301,4.160547,4.4822693,0.25323847,0.25237072
21,2.488152,2.5056608,21,0.8448384,0.84229785,1.5928913,1.712513,0.79058033,0.82869744
22,5.0637994,5.0003486,22,0.53287107,0.57778305,3.7367256,3.799326,0.6625388,0.6620177
23,2.0073905,2.0408137,23,0.7315142,0.8382435,6.03464,5.749725,0.52300024,0.57119447
