,reward rate,dec temp,cached weight,cached rate,subject
0,0.81577766,1.8451214,3.3135698,0.016702197,0
1,0.51953214,2.7776446,5.4225135,0.3518548,1
2,0.31527218,4.6100883,1.4975591,0.6320135,2
3,0.46863145,4.5359206,2.66635,0.45326814,3
4,0.12061545,5.8746367,5.037272,0.054952517,4
5,0.5217837,5.1933312,2.8815556,0.23674622,5
6,0.7001168,2.6047873,4.7645445,0.5009428,6
7,0.5036726,1.7257966,1.523818,0.16160926,7
8,0.2850535,4.4794602,4.8167825,0.43953618,8
9,0.6968733,7.784465,1.3208426,0.70656073,9
10,0.47507197,3.214158,5.4226513,0.7493195,10
11,0.27115867,2.402093,6.1531043,0.51504284,11
12,0.7093114,6.785632,1.5861367,0.2573177,12
13,0.33260074,4.6060066,2.1810982,0.25906077,13
14,0.8182842,0.93892086,6.9685373,0.55387783,14
15,0.4066595,3.3724573,3.533212,0.7715254,15
16,0.60473925,1.53607,1.7550642,0.7732887,16
17,0.39565897,1.5792941,5.4671097,0.7673356,17
18,0.8600511,7.8713284,6.1219716,0.47713578,18
19,0.81158876,2.672987,2.0140977,0.11383255,19
20,0.60450065,1.0078977,5.708475,0.050812002,20
21,0.2000393,0.60022086,3.286016,0.42982036,21
22,0.6900274,1.6121423,5.880702,0.17941359,22
23,0.13241738,0.8030424,1.4570973,0.8226867,23
24,0.39989412,1.8189441,1.847286,0.20964603,0
25,0.73097086,2.1869547,5.224231,0.34745347,1
26,0.379869,6.1685443,1.3315052,0.8463825,2
27,0.4676215,4.041553,2.963067,0.30658805,3
28,0.15548678,5.0032053,4.789124,0.08674597,4
29,0.5651873,4.364826,3.0358024,0.255859,5
30,0.6154943,1.6329558,3.8788855,0.55875087,6
31,0.30355534,1.8154775,0.8740065,0.48170885,7
32,0.38305867,5.086462,5.962875,0.37255013,8
33,0.6806587,6.5788884,1.4374187,0.40769568,9
34,0.7023467,3.2298472,6.027954,0.9100179,10
35,0.29580262,4.0175743,6.6516633,0.56894445,11
36,0.5142775,6.7103577,0.60758835,0.6815469,12
37,0.3091792,5.1631975,3.1341782,0.28711304,13
38,0.5318258,1.9576705,6.689448,0.5136439,14
39,0.45657277,4.2575684,3.4902527,0.70561457,15
40,0.7496655,1.735084,1.712832,0.82248795,16
41,0.17129697,1.9726665,4.058276,0.67174053,17
42,0.87035376,8.036921,5.2242274,0.42641827,18
43,0.7391763,1.4980984,0.8066433,0.083124176,19
44,0.46620378,0.7293434,4.8850393,0.07380311,20
45,0.33194765,1.0973163,4.0257044,0.47361585,21
46,0.32572573,1.8482612,7.811949,0.20753443,22
47,0.8105501,1.4495443,1.6444852,0.70967305,23
48,0.6253861,2.9095933,3.6587975,0.008584195,0
49,0.6432706,1.5299797,5.328932,0.2966977,1
50,0.32585907,5.789529,1.1298733,0.46563008,2
51,0.3124543,6.1801124,2.4773955,0.35929072,3
52,0.15644549,5.8803015,3.6803496,0.07456507,4
53,0.7058063,7.505046,3.2190073,0.30392724,5
