,policy rate,reward rate,dec temp,habitual tendency,subject
0,0.63301694,0.5354075,5.4194937,2.4677022,0
1,0.4626826,0.6083462,1.7129145,4.078615,1
2,0.7810755,0.67079496,1.1335061,3.6517887,2
3,0.7237416,0.43578044,0.79734814,6.3676972,3
4,0.39764494,0.23481013,1.6035281,3.2388759,4
5,0.7492451,0.39070618,1.1035016,4.8214216,5
6,0.19326545,0.32067364,1.3778028,5.388996,6
7,0.73560935,0.7536632,0.9391172,2.4916506,7
8,0.43369806,0.63866967,4.986187,4.3634377,8
9,0.7080377,0.16946186,2.1069338,2.2248151,9
10,0.8098538,0.27573735,7.617827,3.6430058,10
11,0.32442376,0.56073266,7.2093153,4.9446344,11
12,0.55099696,0.874942,3.1742704,2.3530948,12
13,0.4473334,0.58748263,4.346389,3.7790391,13
14,0.679724,0.31678534,3.8691812,7.58842,14
15,0.62759376,0.93332297,3.5796156,1.0384879,15
16,0.40020794,0.2524686,6.062617,5.304922,16
17,0.5830278,0.6507453,1.8596743,1.1291084,17
18,0.60915065,0.2870881,3.2923622,2.9475474,18
19,0.42603037,0.43064705,6.8724303,5.6344585,19
20,0.6610427,0.38948652,5.49597,1.3686514,20
21,0.74593705,0.6108813,8.856215,1.5226294,21
22,0.4850067,0.47178665,4.08857,1.4653904,22
23,0.44361725,0.7713479,3.575338,2.7285001,23
24,0.62758094,0.5471002,4.731379,1.0838349,0
25,0.6258131,0.12618403,3.1991384,4.606558,1
26,0.5965953,0.605938,2.825545,3.5369496,2
27,0.6523737,0.6897889,1.3103254,4.9561386,3
28,0.31023127,0.43803507,4.1480703,2.644304,4
29,0.59895116,0.1977326,1.1353716,2.4211547,5
30,0.41464114,0.23848075,3.1917117,6.9549255,6
31,0.74734205,0.8278114,1.6241939,2.6200356,7
32,0.35754284,0.55248636,4.675472,4.2637925,8
33,0.8109593,0.22609718,2.1816852,3.0892894,9
34,0.44848233,0.0725731,6.824846,2.9779286,10
35,0.39590943,0.3646255,4.6417756,5.394593,11
36,0.56824255,0.7951568,3.5593617,2.49613,12
37,0.5823539,0.48131102,4.596552,4.0479813,13
38,0.18015777,0.4393651,5.81767,6.814034,14
