,inferred dec temp,true dec temp,subject,inferred reward rate,true reward rate,inferred habitual tendency,true habitual tendency,inferred policy rate,true policy rate
0,5.5458674,5.935207,0,0.48976287,0.41218805,1.4317431,1.0164363,0.68028957,0.25124925
1,2.8097265,1.0359339,1,0.28131342,0.54286027,4.7199483,2.447905,0.43878654,0.113022625
2,1.275419,2.0444129,2,0.6971289,0.9843872,3.5899696,4.152051,0.7784407,0.9163973
3,1.8279186,2.819077,3,0.468234,0.020004332,4.9270606,5.437456,0.5764264,0.7472167
4,2.90992,1.8362496,4,0.4799538,0.346807,2.8346448,2.1330914,0.31380504,0.26235914
5,1.4874249,2.0942082,5,0.3363405,0.37191534,3.0696201,4.145215,0.7511621,0.8794143
6,3.436344,4.632622,6,0.5229858,0.2350108,6.4804926,3.6673284,0.34478423,0.00056552887
7,1.2100075,1.3168609,7,0.73355645,0.66653526,3.2288918,3.7961004,0.80499864,0.89084846
8,4.3119006,5.028114,8,0.51932913,0.40533876,3.6315994,2.7657614,0.33982822,0.17281318
9,2.1687562,3.1163342,9,0.17588644,0.2880596,2.9055018,2.9328656,0.7288903,0.82577926
10,6.041261,4.8280344,10,0.18419889,0.19518161,3.6182652,3.4223783,0.75294554,0.5999117
11,3.5782664,2.679076,11,0.5046899,0.9909052,6.441287,5.1191654,0.38219738,0.16085202
12,3.3404384,2.991417,12,0.79172707,0.8238571,1.6995631,1.7990605,0.44453472,0.43692523
13,4.180911,3.8237903,13,0.5825205,0.44235837,3.8398764,3.7905126,0.6492181,0.75491315
14,3.4629447,2.7680287,14,0.51188946,0.88228685,6.4914827,5.629336,0.33968058,0.064133525
15,3.3352017,3.9026613,15,0.8349881,0.85963595,1.5994658,2.0588036,0.6393312,0.70055616
16,4.7184153,5.4242353,16,0.42533705,0.257263,5.1141496,5.2193313,0.44286382,0.26011854
17,1.8726077,1.223254,17,0.63866144,0.7482014,1.2732027,1.4107207,0.7312842,0.84851295
18,3.6312463,3.3390057,18,0.3577072,0.18569279,3.1706753,3.16916,0.5134031,0.6308244
19,3.0290594,3.1758103,19,0.5463801,0.23756617,5.2126455,3.7491415,0.3866028,0.1714114
20,5.303466,4.6640077,20,0.5160579,0.57989717,1.4869798,1.2341685,0.73184645,0.68998206
21,6.895116,5.8601465,21,0.56866187,0.55487126,1.5323654,1.1453135,0.75354886,0.70171106
22,4.3778133,4.49545,22,0.52759886,0.55874753,1.4002733,1.1948156,0.34524745,0.21474338
23,5.2392,5.3146615,23,0.80553,0.87206113,3.108173,3.2843957,0.6606248,0.62253356
