,locs0,locs1,locs2,locs3,subject
0,-1.4576151,-0.6443815,-2.5760825,-0.5348322,0
1,0.7506408,-4.559888,-0.870624,-1.5087582,1
2,0.6252965,0.3360931,-0.61813647,-1.3262246,2
3,1.3026841,0.29464123,-0.7310914,-0.7212165,3
4,0.3001421,-3.1021063,-1.171587,0.057747334,4
5,1.5644692,1.9977365,0.105085224,-1.1887395,5
6,0.12313008,-0.76280135,-1.2022766,0.44731274,6
7,1.203176,0.33367777,-1.255662,-2.0832977,7
8,1.541238,3.3844056,-1.4709952,-1.5078242,8
9,-0.7823566,2.9148202,-2.275412,-0.2221731,9
10,-1.9381847,-2.536875,-0.6795809,-0.8256446,10
11,-0.14276601,0.15564269,1.2559679,-0.07231648,11
12,-0.097681016,-1.3486482,0.104407184,-0.9617201,12
13,0.40280062,2.843624,0.27491194,0.21015014,13
14,2.1077716,-4.974931,-0.35270208,-0.47289,14
15,0.6920845,0.69360965,-1.7346095,-1.3389214,15
16,1.4147828,0.5726264,-1.4469848,-0.77089936,16
17,1.4338561,-0.34830117,0.096545584,0.18004358,17
18,-0.65526485,0.1309998,-0.047313064,-1.1070907,18
19,-0.11389666,1.5950316,-0.1459949,-1.1591179,19
20,0.9806487,1.0732992,-1.1531212,-0.62590545,20
21,-0.560256,-0.6585879,-1.0327104,-0.2413556,21
22,-0.66097784,-0.710942,-1.0085129,0.6234244,22
23,0.34710342,0.95991457,-1.2874427,-0.18773705,23
24,-0.8229734,1.242651,-3.0531154,-0.8533871,0
25,0.79485303,-4.704336,-0.7294236,-2.199071,1
26,0.26117617,-0.14597625,-1.0676644,-1.4463916,2
27,1.1489664,-0.03886932,-1.0647742,-1.3747597,3
28,1.1544597,-2.0488377,-1.2817742,0.45099252,4
29,0.9866922,1.5082456,0.3567896,-1.3471193,5
30,0.11229199,2.1731749,-2.493174,0.07503456,6
31,1.1917138,0.943444,-1.4502714,-1.5637012,7
32,1.4893231,1.0984721,-2.2973607,-1.7082386,8
33,-1.7142901,-1.190814,-1.2802597,0.13093382,9
34,-2.3251033,1.0229512,-1.2636127,-0.3453455,10
35,0.32623354,1.7054411,-0.32730812,-0.087796405,11
36,0.20440263,-1.3141689,-0.120095566,-0.9437891,12
37,0.14958413,0.23483852,-1.670903,-0.38205302,13
38,1.2680254,-4.1468115,-1.9023902,-0.51080596,14
39,1.8320003,-1.0550115,-1.7169824,-0.9005878,15
40,0.9718367,0.108327866,-0.9048783,-0.70073164,16
41,2.0477133,-0.06408754,0.19836894,0.3937849,17
42,-1.0724674,0.605346,-0.212194,-1.0609742,18
43,-0.29958224,0.259247,-1.6251802,-1.3376768,19
44,1.6432818,2.4671688,-1.4780873,-0.8609698,20
45,0.69920933,1.7071631,-0.4162933,0.7087075,21
46,-1.4171323,-2.10236,-0.17210245,0.7017504,22
47,0.53495765,-3.3430672,-2.176089,-0.71334946,23
48,-0.2224266,-0.39004207,-1.505086,-0.029226393,0
49,1.3886074,-4.964803,-0.92313015,-1.8580499,1
50,0.56921846,-0.54922557,-1.3729328,-1.8301373,2
51,1.3067601,0.13492914,-0.4566313,-0.9496049,3
52,0.90422785,-0.28566468,-1.5719013,0.54063845,4
53,1.1517467,1.8938532,0.21537754,-1.1099343,5
54,-2.094134,-0.18937746,-0.9394322,0.067587435,6
55,1.4696953,0.8037443,-0.58827657,-2.157856,7
56,2.5407999,-0.25993967,-2.9843283,-1.756334,8
57,-0.2955985,-0.41956538,0.030390322,0.69181645,9
58,-1.1543198,-1.0688936,-1.4947914,-0.1418024,10
59,-0.09363279,0.6884105,0.041900575,0.021437414,11
60,0.5660807,-1.3768172,0.4076894,-0.9602322,12
61,0.059510976,0.34599778,-0.7999585,-0.26423275,13
62,1.4804581,-3.6836662,-0.1375106,-0.5484455,14
63,1.6985801,-0.5382378,-2.121065,-1.5359818,15
64,1.3014221,3.1386032,-1.4684141,-0.9657805,16
65,1.9559711,-0.3463555,0.404547,0.06619578,17
66,-1.0897946,0.45055607,-0.83924973,-1.1354222,18
67,-0.20624307,1.799254,-0.44268596,-1.2315812,19
68,1.0275774,3.17058,-1.6767511,-0.8280127,20
69,1.2010689,2.490521,-1.6734054,0.23487222,21
70,-1.1130176,0.88574743,-0.120750606,0.17860544,22
71,1.0840766,2.9921012,-1.2757094,-0.09279701,23
72,-0.2369622,2.3898082,-1.5215296,0.18996248,0
73,0.24286735,-4.8540077,-0.6698269,-2.1996756,1
74,0.3624792,-0.17028153,-0.5985166,-1.6806943,2
75,1.1924801,0.55283844,-0.6661363,-0.9945485,3
76,0.6785715,-1.7435167,-1.0829688,0.27329352,4
77,1.0478616,1.9843006,-0.2839361,-1.2113619,5
78,0.005530119,-0.19412643,-0.93431586,0.6807815,6
79,1.3161294,0.89204764,-1.191235,-2.296822,7
80,2.8397636,0.08322573,-2.726199,-1.4673734,8
81,-0.15939486,-0.90369123,-1.0102998,0.54632616,9
82,-1.2937543,-2.1078827,-2.0185313,-0.5277494,10
83,-0.7321404,2.0343719,-0.17160493,-0.6243431,11
84,0.5880162,-1.4348441,0.3449822,-0.6883438,12
85,1.0275717,1.7773825,-0.3858412,0.17115216,13
86,0.92502844,-4.111805,0.10421103,-0.3889268,14
87,1.2123964,1.6630316,-2.1490405,-1.2759635,15
88,1.1327103,1.5063927,-1.5687509,-0.92737997,16
89,1.400728,0.29837406,-0.23182088,0.08048104,17
90,-0.7997266,0.8783365,-0.6591041,-1.3343701,18
91,-0.5999824,1.1569328,-1.5070126,-1.0669823,19
92,2.0102468,-0.30440664,-1.8852725,-0.8460738,20
93,0.36892438,0.105583005,-1.7077234,0.11804137,21
94,-0.70090246,-3.0960379,-0.73382914,1.356549,22
95,0.44213265,2.2255893,-1.2355533,-0.5071208,23
96,-1.0099566,0.35619998,-0.7796854,-0.35501936,0
97,1.5065591,-4.4840703,-0.8198256,-1.75657,1
98,0.48046076,-0.43635082,-1.0739024,-1.977011,2
99,1.3477255,-0.35721603,-0.9528425,-1.0725064,3
100,0.37801617,0.29253542,-1.4834974,0.53420615,4
101,0.6874275,0.87350214,0.14620702,-1.3401155,5
102,-1.717705,-3.8883688,-1.0551162,-0.29702014,6
103,1.7819779,0.49923873,-1.1541005,-1.2206554,7
104,1.7970853,3.289425,-2.1530602,-1.467191,8
105,-1.4130057,1.2070951,0.5957846,0.6388378,9
