,policy rate,reward rate,dec temp,habitual tendency,cached weight,cached rate,subject
0,0.8385824,0.06385532,3.4628642,2.3450437,4.0704913,0.26655376,0
1,0.08585095,0.78840977,3.5416543,4.534692,2.5192409,0.66292363,1
2,0.8059953,0.039216705,4.2022886,6.724344,2.8734746,0.49246114,2
3,0.8484746,0.12879296,3.8240356,8.181964,4.058507,0.7315781,3
4,0.73513234,0.6041285,7.106745,3.8065984,1.0439534,0.6440471,4
5,0.5259566,0.7617985,2.1267323,6.3565702,1.9848502,0.20820412,5
6,0.6772482,0.21780142,2.876129,2.3131146,4.346446,0.8417417,6
7,0.55514526,0.5788627,2.2927895,8.185569,3.9851336,0.2823447,7
8,0.6350395,0.52750313,2.7743764,7.328982,2.143642,0.34700796,8
9,0.45257914,0.6385961,1.5707122,2.871685,5.5543966,0.07468267,9
10,0.2825914,0.7430297,3.0743833,5.605484,4.0528646,0.94314426,10
11,0.65847015,0.8077859,0.85761064,3.5574074,6.1051626,0.39856705,11
12,0.81868035,0.8418884,4.6492324,4.667813,2.5899436,0.7519793,12
13,0.6837225,0.94273025,3.2219505,2.6508589,3.3710518,0.28809932,13
14,0.6160354,0.76097655,4.451709,2.119175,4.2741275,0.16640306,14
15,0.69644046,0.4378064,2.4409049,4.4208913,2.9920907,0.57027054,15
16,0.82767683,0.6916477,3.9530458,2.828486,5.8715973,0.3289058,16
17,0.33281505,0.033107586,4.0096655,3.454444,5.029414,0.9674137,17
18,0.73886305,0.42573503,2.9908445,2.7877097,5.352871,0.781204,18
19,0.42337942,0.23288125,1.3788612,3.4088387,3.9588757,0.2546563,19
20,0.30280134,0.46539968,2.2214417,3.1213953,5.6319375,0.4886827,20
21,0.57693845,0.7144211,2.2425063,6.7767696,6.2831,0.85365444,21
22,0.10236052,0.9921407,2.6972616,4.5029507,2.589766,0.57230294,22
23,0.28008926,0.9122927,1.6184139,5.478199,4.563242,0.3088539,23
24,0.48750597,0.11085592,1.8185781,2.624171,4.882131,0.10639375,0
25,0.096178256,0.84382427,4.630781,6.196807,4.342309,0.12158062,1
26,0.62120193,0.015958462,4.488068,5.3612747,1.6550828,0.6119894,2
27,0.56467724,0.38628563,2.1959395,7.45422,7.9678392,0.6254925,3
28,0.7186994,0.5039122,3.8208017,5.5830436,1.1643121,0.5464893,4
29,0.27831653,0.8569616,1.1042192,7.213851,6.687019,0.12095544,5
30,0.6812674,0.20894462,2.794559,2.4446125,3.7892046,0.7544739,6
31,0.6470136,0.74030405,2.9542103,6.7903852,4.6184616,0.017859356,7
32,0.6241395,0.4070744,2.6363876,5.5173087,0.7850958,0.20030954,8
33,0.3338699,0.13369352,0.77789044,3.6060407,7.3470635,0.05519997,9
34,0.1549146,0.78463703,2.5885308,6.4848013,4.3463016,0.7256572,10
35,0.6899085,0.50295186,1.4074938,2.1993027,5.41449,0.3553544,11
36,0.8732919,0.81086665,3.9179025,3.8959208,2.4300408,0.6524318,12
37,0.692287,0.927324,4.1401844,3.4359086,3.6313925,0.5351751,13
38,0.6758018,0.9074263,3.5774586,2.4786072,3.5654998,0.11228114,14
39,0.72111094,0.8042325,3.871946,6.5762053,4.911013,0.3662712,15
40,0.7956195,0.6769686,3.4255912,2.615694,6.526903,0.25683972,16
41,0.2797506,0.98204756,2.3553708,2.496367,1.8504304,0.25505415,17
42,0.6681045,0.8827011,4.067919,2.7375565,7.077351,0.64916706,18
43,0.8100301,0.99345374,1.8735442,5.4578724,4.597344,0.25402096,19
44,0.38840517,0.89913726,6.2351627,3.2845626,4.9751463,0.53341484,20
45,0.787134,0.3569103,0.9869269,5.7920246,3.1039014,0.86687875,21
46,0.06831793,0.6891954,2.5574067,3.765975,3.0770042,0.76979136,22
47,0.2582658,0.90629786,6.3481655,5.927006,2.6852303,0.41114223,23
48,0.77714497,0.09394822,3.2303476,2.8322017,5.251775,0.09061808,0
49,0.30050075,0.5003932,1.3695095,7.3317614,3.5181332,0.2019241,1
50,0.7205015,0.3513445,2.2597315,4.0876026,3.530214,0.051460903,2
51,0.69824445,0.3169019,4.1842685,7.347944,6.9638815,0.42072362,3
52,0.8529083,0.75755787,4.3978195,5.0284405,2.495005,0.22365355,4
53,0.44504756,0.6172539,6.3440876,7.6129656,5.971742,0.68610466,5
54,0.9252232,0.11971526,2.2946658,3.2743483,3.618996,0.5159914,6
55,0.33368334,0.23863955,4.408286,6.332276,1.5659524,0.20242769,7
56,0.6077745,0.7594273,2.852596,7.8734803,5.6432114,0.6883631,8
57,0.48088306,0.85206765,0.7407023,2.695249,4.4208307,0.15091862,9
58,0.1935034,0.68535507,1.2285025,5.712214,2.9002264,0.30922803,10
59,0.7945367,0.30312762,1.0874419,2.091456,6.7779546,0.3843069,11
60,0.8540912,0.7486323,5.6377883,4.1482344,2.2974238,0.26602167,12
61,0.83305866,0.87772083,3.9830396,3.2905242,3.0629072,0.20163469,13
62,0.74800843,0.8284527,4.695728,2.2876062,4.0703893,0.0845648,14
63,0.7664217,0.59962875,2.1153855,5.1499043,2.3366425,0.08322486,15
64,0.7542557,0.7101777,2.853755,2.4146721,5.8434286,0.16446327,16
65,0.35294744,0.9203216,6.570406,4.349411,3.8409076,0.6181797,17
66,0.6137647,0.44578797,2.2328665,2.4067655,6.7087603,0.6788534,18
67,0.69015265,0.95439076,2.896736,6.6421804,3.930862,0.16702642,19
68,0.36407107,0.636068,4.9615946,2.9905791,5.9244394,0.37716544,20
69,0.80077666,0.6590995,2.323412,6.5124984,1.1211599,0.17315803,21
70,0.22374763,0.7775006,3.556634,3.7573948,0.9882786,0.8368862,22
71,0.44600165,0.7024775,5.733383,8.076832,4.9033637,0.51387566,23
72,0.75120133,0.10094343,3.3933523,2.3723652,5.485067,0.22042426,0
73,0.24735455,0.68285316,5.747815,7.643696,4.9053555,0.28435305,1
74,0.6132556,0.67209,2.1801004,3.6037529,3.3245947,0.014235629,2
75,0.62483704,0.8918218,3.144789,5.6523747,3.8405488,0.27064654,3
76,0.8749478,0.3315253,4.601706,4.776007,1.45501,0.25201184,4
77,0.2789154,0.44506234,3.366149,6.78122,5.3296356,0.30126888,5
78,0.6803628,0.14096577,3.571457,2.395101,3.438214,0.7712155,6
79,0.5420744,0.17445959,2.433574,7.243113,1.6183424,0.968015,7
80,0.69720775,0.013765049,4.379349,8.872723,4.906272,0.16303685,8
81,0.3750145,0.74349785,1.3641983,3.6845398,8.167808,0.17316312,9
82,0.34326673,0.66004074,5.0416746,6.452505,1.732897,0.6430094,10
83,0.43927145,0.61431986,1.5889935,1.6008887,5.5152845,0.41785568,11
84,0.77229136,0.9317346,6.3425374,4.636865,2.1740296,0.35808116,12
85,0.76756686,0.770263,5.6777706,2.7947698,3.484546,0.4783412,13
86,0.6802392,0.9073664,5.8526587,2.758144,2.545714,0.1913686,14
87,0.5643095,0.13591494,1.2026069,4.8253675,2.83154,0.6910862,15
88,0.7754313,0.8016465,4.107727,3.122397,6.044481,0.327589,16
89,0.3960259,0.91879684,4.2871637,3.322612,4.113905,0.76970595,17
90,0.38999787,0.19712114,1.7381905,1.7147844,3.8176708,0.75134665,18
91,0.73084086,0.6944291,3.4895358,5.8748093,5.5748563,0.0739622,19
92,0.38860214,0.75725925,4.2466397,3.8975046,5.9711866,0.57783264,20
93,0.51026076,0.74160564,3.935948,5.70391,4.9352813,0.90258753,21
94,0.055988744,0.45222875,1.5591539,2.8892872,1.8926638,0.7157115,22
95,0.2100233,0.8713799,2.5927691,5.811639,6.0114403,0.112604246,23
96,0.7474251,0.1718187,4.2150884,2.645485,5.5235434,0.1011254,0
97,0.5012206,0.60612494,2.7895231,7.975212,1.4772396,0.23657711,1
98,0.46907622,0.7080885,0.91004735,3.797469,2.4214156,0.073435955,2
99,0.6779038,0.15372273,4.533078,6.2481613,5.2385855,0.5678816,3
100,0.8253935,0.448162,5.2504005,4.036687,1.1865187,0.1489145,4
101,0.35535783,0.6583015,3.6064875,8.08,6.7606297,0.13972728,5
102,0.64253724,0.2283371,3.9647565,1.6850616,5.29412,0.71625054,6
103,0.66133386,0.4866114,6.271768,8.678789,4.47956,0.18679127,7
104,0.6884848,0.6290115,0.8031741,6.6864815,1.8259424,0.3639696,8
105,0.333408,0.04108576,2.5222704,2.9962611,6.5743423,0.1798663,9
106,0.19061846,0.13245726,5.767238,6.1620326,3.12372,0.5643573,10
107,0.85845083,0.22162555,1.9469594,2.5707295,5.0797014,0.2751117,11
108,0.87959343,0.7008391,5.8633657,4.395536,1.719197,0.59310097,12
109,0.71784484,0.86541384,3.9146402,3.1200118,2.8306901,0.7192507,13
110,0.73599344,0.8864919,4.1370826,2.6025467,2.6231992,0.16010107,14
111,0.75073683,0.058340274,1.3019413,4.5528383,3.805703,0.26228613,15
112,0.6957069,0.70243096,3.2267623,2.0472918,4.289622,0.27363932,16
113,0.6169816,0.78262484,3.2280378,4.2617564,3.322344,0.17037849,17
114,0.53419936,0.88925827,1.9916047,2.7129402,6.702433,0.693058,18
115,0.92274356,0.50728583,3.8179877,6.458621,1.648915,0.42855152,19
116,0.32737353,0.9052737,3.3672647,4.0393877,5.7745733,0.4446516,20
117,0.68453884,0.18666126,2.353033,6.9711633,3.0684924,0.89023036,21
118,0.06882623,0.549797,3.1674135,3.4685614,1.7190726,0.8699512,22
119,0.354307,0.5755139,3.8431027,6.986618,4.0652313,0.23406075,23
