,locs0,locs1,locs2,locs3,locs4,locs5,subject
0,-0.016126513,0.59917945,-0.31586733,-0.8172695,-1.9114465,1.1855538,0
1,0.91389793,1.4494439,-0.43616,-1.4951671,-0.7007134,1.6509396,1
2,0.40126622,1.9785676,-1.7755003,0.51730555,0.34497058,1.3008423,2
3,0.19316503,0.049307346,-1.5385823,-0.12569278,0.26793662,2.235275,3
4,0.6139123,0.82591057,-1.1086124,-1.4923272,-1.4538243,-1.4722078,4
5,2.1960878,0.778913,-0.8016076,-1.4807622,0.23046422,-1.0956969,5
6,-0.9680621,-0.6708128,-0.93941426,0.024273261,-1.1249908,0.83400124,6
7,-1.4642661,-0.6246319,0.16057324,-0.18501937,-0.85622764,0.9285738,7
8,1.0026803,2.220582,-1.1617149,-1.434361,0.26808572,-0.031009555,8
9,-0.9177686,2.3760684,-0.393893,0.21714213,-0.7710278,-0.40893105,9
10,-0.88740313,3.1410427,0.04033956,-1.2537822,-1.3816167,-0.08931136,10
11,-0.56954247,1.7884436,-0.1465505,0.12283152,-0.7143956,0.033291757,11
12,-3.167453,0.50129974,-0.1983382,-1.3196552,0.0303047,0.76997006,12
13,0.3696785,-0.8358772,-1.0228702,-0.41644812,-1.557078,1.6042727,13
14,-2.141308,0.18303466,1.0683827,-0.605682,-2.232898,-0.3820331,14
15,0.6977629,2.178036,-1.1989096,0.19640732,0.32450774,-2.1557293,15
16,-2.2767012,0.72880334,-2.0686622,0.47382095,-0.95311135,0.2635073,16
17,0.1586684,0.5690607,-0.3674556,0.3232503,-2.5270605,0.576028,17
18,-1.5014322,0.5955441,-0.45714056,-0.32098168,-0.0557743,3.3981342,18
19,2.0227652,-0.47853634,-1.219412,-0.3936487,-2.0128195,1.2505376,19
20,2.0179555,0.50746804,-1.8560017,0.16391034,0.75087106,2.0247781,20
21,0.32375208,1.5723517,-0.19445336,-0.68837184,-0.8721513,-1.9349864,21
22,-0.70823807,0.09806698,-0.53195316,-1.1993039,-0.86594236,0.08970106,22
23,0.51608956,-0.35720253,0.017636567,-1.4439588,-0.57979685,-0.19044091,23
24,0.52448237,1.3486515,0.017039597,-0.47496933,-2.1196303,-0.7172869,0
25,-0.09248547,1.216653,-0.2538224,-1.6182864,-1.1501241,1.503369,1
26,0.19202077,-0.75975794,-1.108984,-0.28496134,-1.4792274,1.4206412,2
27,-0.38657108,1.4563915,-0.81006205,-0.5291112,-0.14834315,1.9417585,3
28,1.4268587,1.1693062,-0.85781735,-0.642488,-0.5847812,-0.34241015,4
29,1.7398881,-0.5562251,-0.38217086,-0.614941,0.83240336,-0.23869346,5
