,inferred dec temp,true dec temp,subject,inferred reward rate,true reward rate,inferred habitual tendency,true habitual tendency,inferred policy rate,true policy rate,inferred cached weight,true cached weight,inferred cached rate,true cached rate
0,5.805151,4.8014927,0,0.75272965,0.6296777,2.1756723,2.1660037,0.6711116,0.68105865,1.6358482,1.2663813,0.47677073,0.74803317
1,2.901625,2.0992858,1,0.4933629,0.31377697,2.421785,2.635151,0.3473219,0.4223997,3.8154762,3.371838,0.75172997,0.7708586
2,3.247004,2.2948492,2,0.5362472,0.53117186,6.49246,4.0340357,0.28641173,0.24133837,3.1532235,1.6004808,0.5790534,0.42025554
3,1.970363,1.0547776,3,0.50018203,0.47390634,4.4244123,3.3708475,0.34244666,0.27974445,2.0467625,1.5903246,0.57541054,0.19680315
4,4.668717,5.323213,4,0.68427664,0.8400424,5.0626173,5.745753,0.8462749,0.9519476,3.6160376,2.8310146,0.8718398,0.97847867
5,2.5863564,2.5208614,5,0.41111258,0.40467024,2.965501,2.6867664,0.5680266,0.44134778,4.3885217,4.619044,0.863866,0.97334564
6,4.8228106,5.3145432,6,0.53319496,0.5832698,4.2616487,4.147755,0.8132577,0.8987768,2.8721611,3.071148,0.34107885,0.26759183
7,2.6189926,4.8257914,7,0.6096265,0.99690485,3.1616495,3.4474766,0.7210507,0.8233033,3.5100596,2.8391802,0.74690175,0.5359277
8,3.564565,2.3635964,8,0.4981315,0.5332933,3.7794585,3.0606396,0.20604263,0.112027526,5.2788243,5.6597023,0.5311151,0.4122845
9,3.1915116,3.8543875,9,0.549111,0.9923934,6.544483,3.3873928,0.29950252,0.012685537,3.021024,2.6894932,0.5031832,0.598701
10,3.146203,1.3750092,10,0.52930874,0.5424151,6.3600087,5.574481,0.32039037,0.01816529,2.8777926,2.8520977,0.52620953,0.056557655
11,3.8368149,4.7504053,11,0.5365209,0.6762355,2.5745003,3.1808982,0.16573644,0.20288557,1.7394602,1.7544267,0.57547975,0.5717551
12,1.7959027,3.0241997,12,0.31460536,0.08646929,3.2168615,3.3481798,0.45473602,0.46313596,5.1764865,4.9813623,0.86036056,0.9855874
13,4.360642,3.9481707,13,0.58287644,0.08437717,2.7327542,2.9396446,0.25407857,0.29170972,2.9914405,4.2501535,0.797441,0.9593142
14,4.1806903,3.1174688,14,0.5245069,0.5700563,1.6988671,1.7761297,0.6216377,0.5740743,1.8926885,1.3048027,0.6881956,0.92472255
15,3.666601,4.2947845,15,0.4865349,0.33086938,2.9539535,2.7432163,0.6750627,0.5620396,4.354749,3.233174,0.26072955,0.38448852
16,2.4469876,3.3109698,16,0.3437215,0.30815274,2.532152,3.0720913,0.79481506,0.97555226,3.742435,3.331166,0.1825087,0.17943168
17,2.6762104,4.17017,17,0.56394935,0.5844743,6.1864586,4.782635,0.3934895,0.16812003,2.903193,2.9822826,0.6158401,0.9756597
18,4.1549206,2.6874375,18,0.5039263,0.58845246,3.556833,4.2281923,0.82211894,0.91730475,5.307907,5.7369723,0.8505494,0.8903149
19,4.172905,5.6309752,19,0.123684876,0.13117337,2.1341856,2.1296935,0.85171825,0.9472324,1.6782331,1.5152917,0.635507,0.8192143
20,3.2515354,3.5546715,20,0.5403136,0.20766354,6.5952816,3.457504,0.292588,0.06780326,3.146715,1.6931108,0.5256791,0.784063
21,1.9438068,1.208446,21,0.6287203,0.79748195,4.4261746,5.027477,0.78094494,0.9618072,3.3564105,3.8786182,0.12976277,0.18685049
22,2.0279946,2.9005127,22,0.57882655,0.9448852,2.4820862,2.6134028,0.35122016,0.41949075,3.164564,2.3634312,0.09613187,0.031344235
23,4.059618,4.615477,23,0.7927998,0.8179513,1.9354458,2.23567,0.6453797,0.5497862,1.7270321,1.3426967,0.62015307,0.86800724
