,discount,learning rate,dec temp,weight,subject
0,0.6419011,0.4967817,4.619712,0.74223596,0
1,0.3868975,0.12370628,1.5667851,0.4926498,1
2,0.8318746,0.22666375,0.9278753,0.48184636,2
3,0.95332533,0.71316195,2.6904278,0.35340223,3
4,0.7339914,0.90074575,1.5029172,0.17394674,4
5,0.45119327,0.44409978,2.5108805,0.58100075,5
6,0.12180606,0.6619002,2.871834,0.4150254,6
7,0.8616634,0.8117984,2.482289,0.49999738,7
8,0.41599882,0.20058931,1.0734452,0.4417718,8
9,0.8788745,0.48593238,2.1926847,0.13428563,9
10,0.31616554,0.328159,0.41764885,0.5620598,10
11,0.66225207,0.7646162,1.6300259,0.20326069,11
12,0.5570234,0.66956437,2.9214287,0.4988081,12
13,0.31661543,0.18805408,1.2943846,0.56226665,13
14,0.695678,0.18434753,1.3640268,0.2249889,14
15,0.5600971,0.15160881,0.6677008,0.9008408,15
16,0.41523874,0.24168171,2.2067738,0.40018374,16
17,0.9078609,0.16957475,0.27017745,0.37902346,17
18,0.92516214,0.5374359,1.243365,0.8830793,18
19,0.40614927,0.50931525,3.7524111,0.8456073,19
20,0.24262348,0.45765072,3.059309,0.39550808,20
21,0.42180142,0.335031,1.3093642,0.5571269,21
22,0.43010703,0.12003812,3.0438044,0.43227485,22
23,0.42521545,0.81092054,4.678799,0.68122786,23
24,0.1937597,0.39114556,0.8880408,0.7263319,24
25,0.74815506,0.35487732,3.5143976,0.5620877,25
26,0.8223556,0.74284077,3.2277782,0.4367105,26
27,0.48517635,0.31187278,3.840744,0.9020378,27
28,0.48900774,0.3022128,1.1274157,0.69586706,28
29,0.03981872,0.9159889,1.5178788,0.29205978,29
30,0.67313206,0.16737941,1.0782238,0.40567702,30
31,0.57775265,0.60123044,2.0897975,0.23324476,31
32,0.5224028,0.5342602,1.6520655,0.18822075,32
33,0.6486323,0.95812714,3.4919121,0.8376648,33
34,0.3553317,0.91959065,2.705241,0.54075664,34
35,0.27438337,0.5630323,4.413867,0.64854693,35
36,0.8283697,0.55863184,2.5233219,0.1819838,36
37,0.6715822,0.6754657,3.2652035,0.48872176,37
38,0.70064026,0.112992495,1.6789756,0.68462265,38
39,0.27729684,0.3751533,4.3051796,0.8513911,39
40,0.9578286,0.32487535,2.013756,0.31588963,40
41,0.26123598,0.070322536,0.6115492,0.17411393,41
42,0.76391286,0.31042042,1.0145692,0.4755002,42
43,0.9755992,0.38503888,2.240737,0.26274037,43
44,0.50926536,0.7121801,0.295703,0.76048976,44
45,0.35800582,0.3692123,2.5354767,0.5179908,45
46,0.04789129,0.84407157,3.4913185,0.73270386,46
47,0.392662,0.3448039,0.78788936,0.42404357,47
48,0.93111306,0.53371346,4.2907,0.86646277,48
49,0.6850114,0.2687451,1.1426243,0.4448369,49
50,0.74592507,0.47662318,4.46457,0.88456017,50
51,0.05003497,0.115902685,1.0058612,0.6452257,51
52,0.27898747,0.29394323,3.0358586,0.7856413,52
53,0.26232973,0.44016656,1.919616,0.042940088,53
54,0.7804981,0.47249478,3.041195,0.7365487,54
55,0.336245,0.630691,2.8420324,0.34383234,55
56,0.6454842,0.6318589,4.723872,0.8254257,56
57,0.8878407,0.7546645,5.0227723,0.817121,57
58,0.3782926,0.08125123,5.315475,0.6556083,58
59,0.41885155,0.57805705,3.5313506,0.60313946,59
60,0.4198264,0.674488,4.4986205,0.37603593,60
61,0.60742795,0.57856214,3.231147,0.33422804,61
62,0.85744035,0.25429672,1.0933846,0.8090356,62
63,0.3266153,0.78209424,3.0698204,0.3804465,63
64,0.5372937,0.054513637,2.1887724,0.75317305,64
65,0.10166171,0.42195264,1.0843432,0.6001917,65
