,locs0,locs1,locs2,locs3,locs4,locs5,subject
0,-0.18987106,-0.09789708,-0.32427007,0.8217229,-2.097136,-0.2845407,0
1,-0.36727643,-0.5082569,-2.2480245,2.0924478,-1.4332784,-2.3747294,1
2,1.1752167,-1.6812942,-1.2204695,2.0335693,-2.0874412,-1.2522001,2
3,1.1761463,0.9695204,-0.9379482,-0.16291381,-1.2868718,-3.58064,3
4,-2.2754488,0.60686123,-1.9279273,-0.41121465,-1.1189764,-0.27489316,4
5,-1.7710856,0.8942474,-1.485234,0.75196207,-1.0763371,-2.906254,5
6,-0.53225076,0.82269293,-0.42811108,2.695061,-0.8648826,-0.021639347,6
7,-2.2227027,2.0765595,-0.21871531,1.3060449,-2.1947308,1.4223675,7
8,-3.7229435,-0.37202257,-2.176897,0.698815,-1.6677032,-1.4685881,8
9,0.47402775,-0.19000046,-1.2794892,-0.4429869,-1.2901909,-0.55856967,9
10,-2.7447813,0.541564,-2.1829157,-0.30192006,-1.5104643,-3.201083,10
11,1.434565,0.3228454,-0.374238,1.0655924,-1.8287525,-1.9853342,11
12,-1.2901042,2.3070982,-1.5153902,0.84031916,-0.78569543,-0.1328426,12
13,0.303887,-0.31725413,-2.8471718,0.4092523,-1.6474398,-2.4482765,13
14,0.034303367,-1.9140877,-2.3738928,2.1308308,-1.0701808,-1.3945239,14
15,1.300299,0.24459529,-1.6808809,0.7443662,-2.4373093,-0.21708858,15
16,-0.03994751,-0.7206327,-1.1698081,0.54750764,-1.5265055,-1.182456,16
17,-1.6668658,-0.6034857,-3.1045732,0.4490667,-1.9883147,-2.7103605,17
18,-1.266523,0.11340791,-1.4639422,-0.16436434,-1.9064717,-1.6622989,18
19,-2.046639,-0.055679142,0.6511272,3.061685,-1.3632727,-0.92840534,19
20,0.41974175,-0.63917506,-0.5721357,2.0037377,-1.0912242,-1.2577724,20
21,-0.728115,-1.0371193,-0.87616163,1.3298192,-2.03038,-1.2342849,21
22,-2.9631953,-0.5703368,-0.7165889,-0.09407675,-1.6937081,-1.932599,22
23,0.6594561,2.1807327,0.19570088,2.2618742,-0.7322482,0.10185817,23
24,-1.6333036,-0.4427876,-2.0108957,0.84475577,-1.7491114,-2.77243,24
25,-1.075182,0.48866618,-0.68493795,1.5066808,-0.7992432,-0.054456055,25
26,2.1857622,0.39206737,-0.31069311,0.3643724,-1.567575,0.14179495,26
27,-0.6237292,-1.0469902,1.2112825,0.9817991,-2.3263836,-1.2661189,27
28,-0.15147549,-1.1347808,-1.8646331,2.3310094,-1.715178,-0.0870111,28
29,-1.1682914,2.9291098,-0.74698186,1.0180261,-1.8386786,-1.081262,29
30,-1.6430771,-2.221624,-0.8253138,1.8547109,-0.954126,-3.5791159,30
31,-0.7821869,-0.078320205,-0.9180115,1.7030967,-1.0029025,0.8913708,31
32,-2.1746306,0.061860263,-1.7373996,-0.31924003,-1.0654546,1.2026278,32
33,-0.22616875,3.6585002,0.8444557,2.2149708,-1.5197065,-3.7777405,33
34,2.8892598,1.8333428,-1.0029778,0.94711244,-1.78251,0.04027468,34
35,-1.0459641,0.9791737,-0.6215936,0.6056693,-1.1468815,-0.9740248,35
36,-1.4946342,0.30638325,-0.7169301,-1.3177788,-1.091269,0.89084625,36
37,2.002454,0.123915374,-0.010938272,-0.29154506,-2.7239451,-0.20617825,37
38,-2.9204097,-0.8264909,-1.1139213,1.8254988,-2.441879,1.4975219,38
39,-0.32448578,-0.08777627,-0.76749563,1.6703503,-0.9817358,-3.175354,39
40,-2.8181946,-2.0227432,-1.6149116,-0.05840707,-1.4185559,0.0021141805,40
41,0.5139451,-2.9330893,-1.9721214,1.0819459,-2.1580648,-2.5127354,41
42,1.975867,-3.012577,-1.6355004,2.024955,-2.2019086,-0.089952886,42
43,-0.12677261,-0.19067883,-1.522068,0.11862278,-1.2149818,-1.5852168,43
44,-2.0104206,-6.2929707,-0.14463997,-0.048602104,-3.6584697,0.6368784,44
45,-0.9147713,-0.5290295,-1.1858538,0.4917736,-1.8835251,-0.7710998,45
46,0.1776343,3.0390048,-0.5205185,2.066394,-1.0371714,-1.9911842,46
47,-1.852515,-0.60872877,-1.3645698,0.7172678,-2.340005,-0.62371194,47
48,-2.1953492,0.45142466,0.5545938,1.9374712,-1.376749,-1.7298955,48
49,0.015688658,-1.542977,-1.4298944,1.030851,-2.0009768,-0.7345822,49
50,0.52712274,1.3522108,-0.0857351,1.5142338,-1.584388,-2.3520684,50
51,-1.0517545,-1.340085,-1.6018232,-0.03516364,-1.7639852,-2.3936963,51
52,-2.469067,-0.84221727,-0.223784,1.3451402,-2.8132248,-0.6039382,52
53,2.5226197,-1.1056241,-1.0515873,0.8677616,-1.0594612,0.40521365,53
54,0.6559211,-0.6259003,0.17808357,1.5391054,-1.2740198,-1.4829228,54
55,-3.2893343,1.0755576,-0.66964704,-0.43139952,-1.6030102,-0.3658482,55
56,-0.28176373,0.75996155,1.1146379,1.181659,-2.1003428,-1.9075301,56
57,-2.204505,1.6746302,0.1352489,1.4521986,-1.9148389,-1.0591991,57
58,1.733336,-0.63352424,-0.6091822,2.0101461,-1.3621613,-2.2497087,58
59,0.3647911,0.60539347,-0.4453116,0.6559108,-1.7748855,0.4111645,59
60,2.0118606,3.5902576,-0.67150265,0.04669079,-0.50671077,-1.6674613,60
61,-0.36397862,0.65042055,0.015635371,0.014600098,-1.6059148,1.6809977,61
62,-2.5033507,-0.13772643,-1.3377389,0.95432115,-1.8827358,-1.7410947,62
63,-1.4232562,0.9539255,-0.81212974,0.53945327,-1.6084245,0.09685701,63
64,-0.8237201,0.9847245,-2.779538,1.9056692,0.084635496,-5.8641615,64
65,-0.026623785,-0.04265493,-2.183958,2.3411713,-1.8507074,-2.457856,65
66,-1.4410706,0.003573656,-2.6119993,-0.3362881,-2.4580421,-3.020309,66
67,0.41106975,-1.0838017,-0.5194873,2.2177017,-0.47080934,-3.73664,67
68,0.45868772,1.1859287,-0.8217035,-0.49034035,-1.913128,-1.487926,68
69,-0.6743694,2.2860105,-1.093601,0.27205414,-2.0556068,1.2503108,69
70,-1.3499944,-5.0918455,-1.8074187,0.68834007,-1.756374,-1.9934654,70
71,-0.4405025,-1.2643322,-0.8385407,1.1444743,-0.54615664,-0.9725048,71
72,-2.808247,1.790294,-2.2400496,1.5217779,-1.8598778,-1.6001451,72
73,1.7553519,0.9134617,-0.3622828,2.2567043,-1.3036852,-0.0034099221,73
74,1.1993582,-0.005239146,-1.2138294,1.6898918,-0.8823579,-0.031504437,74
75,0.4438414,0.53626776,-0.69426405,-0.2923861,-1.1568317,-0.7406745,75
76,-1.1988053,0.7646297,-1.5330456,1.0630624,-1.6264445,-2.382974,76
77,-0.42650965,0.81228006,-1.749512,-1.1631471,-3.0138803,-0.4454772,77
78,0.12096703,-0.78257954,-0.21915062,2.2883632,-1.8798133,0.7603985,78
79,-5.2182665,0.764642,-1.1803539,2.3054373,-0.61073583,-0.47852683,79
80,-0.5907716,-0.7026095,-1.1016417,0.29743797,-1.3959303,-1.0666072,80
81,-0.63816386,-1.6308578,-1.4559464,1.4783206,-1.5428641,-2.4095135,81
82,1.7100755,-1.1924233,1.011895,2.5422032,-0.7998179,-0.6115626,82
83,-0.67368555,1.5817468,-1.4534718,1.8223314,-0.8718122,-0.5839237,83
84,2.5234356,-0.035320878,0.09171972,1.6914928,-0.6629063,0.33018672,84
85,-1.2319672,-0.36189693,-2.4016004,1.008277,-2.712824,-0.67816556,85
86,-1.6885641,1.5775259,-2.0421143,1.7972322,-0.99029386,-0.08468236,86
87,-2.3049827,0.7018526,-1.1754849,-1.3249636,-2.289349,-1.1408964,87
88,-0.745673,-0.9794396,-0.63406897,1.2676805,-1.0802956,-1.1237383,88
89,-0.47248387,-0.13112073,-0.79377365,1.9068166,-1.6247456,-1.6870404,89
90,-1.191699,-1.8767226,-0.49314886,1.1047562,-1.6184187,-0.7992768,90
91,-1.9528968,-4.397779,-0.948162,1.9241817,-2.0251002,-1.7027481,91
