,inferred discount,subject,inferred learning rate,inferred dec temp,inferred weight,inferred prior lr,inferred prior weight
0,0.50686187,0,0.58527625,3.4169636,0.79361683,0.26823643,1.1329092
1,0.43493366,1,0.21520914,0.9928949,0.7365796,0.19748391,0.7312792
2,0.45204675,2,0.281756,1.0836734,0.72270083,0.3099458,0.86963487
3,0.76053077,3,0.79851747,2.0731506,0.38241723,0.30113623,0.9252533
4,0.6481725,4,0.6075741,1.1455274,0.47363687,0.26637343,1.1721617
5,0.41864097,5,0.5290372,1.7796638,0.8053603,0.33470026,0.9512166
6,0.5938907,6,0.7783446,2.3042285,0.7747408,0.50924337,1.3902655
7,0.6981335,7,0.79572874,2.1002142,0.62016344,0.57401097,0.75358665
8,0.4036546,8,0.3001212,1.0059583,0.7968749,0.25783977,1.0071626
9,0.67510635,9,0.4736568,1.5181551,0.36052296,0.3076887,1.2284954
10,0.41128314,10,0.29302722,0.7830448,0.7275049,0.20650706,0.6932466
11,0.56729823,11,0.7543219,1.5270398,0.5404132,0.24748476,1.1822829
12,0.5173179,12,0.65283793,2.0844076,0.83174986,0.6386578,1.2800845
13,0.38395318,13,0.35717195,1.1227852,0.79323876,0.23225848,0.74917996
14,0.4507426,14,0.40351775,0.9647273,0.6962838,0.31204972,0.9904375
15,0.40762818,15,0.39852557,0.8582195,0.74667686,0.23319037,0.7634077
16,0.40337878,16,0.35795617,1.708437,0.77929837,0.2630927,0.8051621
17,0.45893404,17,0.24148287,0.94270855,0.7005496,0.24557295,0.57027483
18,0.47161195,18,0.41826117,1.0361346,0.72217894,0.35719818,0.8405079
19,0.3578578,19,0.6103292,3.142649,0.8749887,0.1792672,0.9530665
20,0.47082493,20,0.33822033,1.9871297,0.70759356,0.3633763,1.3750454
21,0.39732853,21,0.49400342,1.2633628,0.7900283,0.25204766,0.7864838
22,0.49862596,22,0.40235695,1.9084361,0.7149602,0.17400785,1.2241182
23,0.45387506,23,0.8497537,4.00745,0.82255656,0.41073504,1.8641646
24,0.4160985,24,0.38906106,0.8699303,0.7585037,0.23732032,0.68801725
25,0.5555097,25,0.6324378,1.8794885,0.6700354,0.3820131,1.8207666
26,0.65112007,26,0.6892842,2.9055703,0.5631424,0.577874,1.1291882
27,0.40219298,27,0.34990662,4.185081,0.88228965,0.18316731,1.151439
