,discount,learning rate,dec temp,weight,prior weight,prior lr,subject
0,0.45267436,0.47554526,2.5178127,0.69460195,0.656253,0.42934093,0
1,0.40919927,0.37560225,0.57312,0.890167,1.1555302,0.08512012,1
2,0.76408666,0.15692417,1.3671231,0.8842768,0.6619408,0.22231951,2
3,0.76425415,0.7250239,1.6878898,0.4593614,1.2982967,0.027102834,3
4,0.0931768,0.6472245,0.7618811,0.3986209,1.4772073,0.43170622,4
5,0.14540738,0.7097659,1.1078289,0.6796061,1.5251988,0.051845267,5
6,0.3699921,0.6948077,2.3674648,0.93673456,1.7779214,0.49459037,6
7,0.09773022,0.888604,2.6732287,0.78685063,0.601348,0.80570924,7
8,0.023592675,0.40805238,0.61106646,0.667925,0.9523839,0.18715732,8
9,0.61633664,0.45264226,1.3058232,0.39102945,1.2949231,0.36387846,9
10,0.06038206,0.63217616,0.60777116,0.42508817,1.08522,0.039124988,10
11,0.8076116,0.5800175,2.4451041,0.74375784,0.83032167,0.12075135,11
12,0.21583518,0.90946317,1.0808481,0.6985324,1.8785622,0.4668381,12
13,0.5753924,0.42134508,0.3289662,0.6009086,0.96873164,0.079564676,13
14,0.508575,0.12852232,0.51111174,0.8938638,1.5322123,0.19868653,14
15,0.7858853,0.56084573,0.9418732,0.67794985,0.4822294,0.44594002,15
16,0.49001443,0.32725367,1.421338,0.63355714,1.0710334,0.23461089,16
17,0.15884249,0.35354662,0.25751403,0.6104173,0.72261167,0.06236477,17
18,0.21985304,0.5283216,1.1271906,0.45900115,0.7762665,0.15945363,18
19,0.11439244,0.4860838,3.9435863,0.95528436,1.2222536,0.28324834,19
20,0.60342145,0.34543306,2.164465,0.881189,1.508327,0.22135758,20
21,0.32560852,0.2617062,1.7638428,0.79081076,0.69629955,0.22543234,21
22,0.049116556,0.36115912,1.9688675,0.47649816,0.9317329,0.12646319,22
23,0.6591382,0.898506,3.2926178,0.90566987,1.9482095,0.52544254,23
24,0.1633783,0.39107692,0.70838207,0.69946593,0.88895583,0.05883232,24
25,0.25441888,0.61979216,2.0109606,0.8185688,1.8611245,0.4863894,25
26,0.89896363,0.5967803,2.5376735,0.59009844,1.0353742,0.5353895,26
27,0.3489338,0.2598035,4.6231546,0.7274651,0.533768,0.21992236,27
28,0.46220335,0.24327989,0.8049837,0.9114129,0.9149599,0.47826093,28
29,0.23716393,0.9492668,1.9288757,0.73458797,0.82324594,0.25326726,29
30,0.16204679,0.09782539,1.827821,0.8646793,1.668335,0.027143054,30
31,0.31384873,0.48042992,1.7121794,0.84593874,1.6102269,0.70917296,31
32,0.10205191,0.51546013,0.89786124,0.42086098,1.5376107,0.7689919,32
33,0.4436976,0.97487634,4.196417,0.9015858,1.0770285,0.022362784,33
34,0.94731295,0.86215943,1.6101382,0.7205341,0.8639608,0.51006734,34
35,0.26000085,0.72694427,2.0965147,0.6469523,1.4463549,0.27407902,35
36,0.18322718,0.5760022,1.9684162,0.21118806,1.5082762,0.7090648,36
37,0.8810545,0.5309393,2.983593,0.4276257,0.36945063,0.44863728,37
38,0.051153813,0.30438757,1.4828434,0.86122465,0.4802067,0.81720454,38
39,0.41958293,0.47807,1.9021266,0.8416225,1.6352849,0.040103804,39
40,0.056348853,0.11683564,0.9954469,0.4854024,1.1693285,0.5005285,40
41,0.6257309,0.050541874,0.7329674,0.74686205,0.6214799,0.07497019,41
42,0.87823987,0.046860907,0.9784695,0.88339245,0.59747535,0.4775269,42
43,0.4683492,0.45247424,1.0749432,0.52962095,1.3729246,0.17005792,43
44,0.11811315,0.0018458449,2.7834175,0.48785186,0.15074651,0.6540475,44
45,0.28602448,0.37074327,1.4040079,0.62052417,0.79190695,0.31624123,45
46,0.54429215,0.9543054,2.236386,0.8875937,1.570177,0.12013164,46
47,0.13557789,0.35234922,1.2209916,0.6720051,0.52718115,0.3489377,47
48,0.10016891,0.6109779,3.8112044,0.8740741,1.2091897,0.15060095,48
49,0.5039221,0.17610292,1.1586909,0.7370809,0.7146024,0.32419,49
50,0.6288118,0.7944909,2.8714762,0.8196878,1.0210496,0.08690151,50
51,0.25888833,0.20749608,1.0063617,0.49120998,0.8777516,0.08365465,51
52,0.078055345,0.301068,2.6657178,0.793334,0.33968222,0.3534432,52
53,0.92571247,0.24868758,1.5535223,0.7042797,1.5444746,0.59993964,53
54,0.65834355,0.3484407,3.2664218,0.8233347,1.3114195,0.18498635,54
55,0.035938904,0.7456524,2.0314553,0.39379215,1.005368,0.40954465,55
56,0.4300214,0.6813454,4.5179567,0.765246,0.6543811,0.12925859,56
57,0.099346675,0.8421922,3.2025647,0.81033653,0.7706292,0.25746253,57
58,0.8498387,0.34671184,2.1134746,0.8818583,1.2233356,0.0953746,58
59,0.5901997,0.64688927,2.3428564,0.6583412,0.8696149,0.6013671,59
60,0.88203675,0.9731496,2.0289626,0.5116706,2.2557895,0.15876295,60
61,0.40999678,0.6571052,3.0234525,0.50364995,1.0029393,0.8430366,61
62,0.07562362,0.4656227,1.2472928,0.7219834,0.7924496,0.14917395,62
63,0.19415164,0.7219039,1.8446212,0.63168526,1.0008448,0.5241954,63
64,0.30497456,0.7280447,0.35063988,0.8705318,3.1268778,0.0028313636,64
65,0.49334446,0.4893379,0.60720205,0.9122299,0.8147391,0.07886595,65
66,0.19137962,0.5008934,0.4102209,0.41671145,0.47311458,0.04651677,66
